"","work","collection"
"1","501_Майков А._Две судьбы : Быль","nlr"
"2","501_Майков А._Две судьбы : Быль","rsl"
"3","501_Майков А._Две судьбы : Быль","rozanov"
"4","501_Майков А._Две судьбы : Быль","us_harvard"
"5","501_Майков А._Две судьбы : Быль","fi_sl"
"6","506_Варвара Лизо…б_Зюлейка : Повесть в стихах / Соч. Варвары Лизо..б","nlr"
"7","506_Варвара Лизо…б_Зюлейка : Повесть в стихах / Соч. Варвары Лизо..б","rsl"
"8","507_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","nlr"
"9","507_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","cz_slk"
"10","507_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","fi_sl"
"11","510_Поспелов А._Старик колдун, по прозванью Чортов-Ум : Новейшая нар. рус. сказка [в стихах] Алексея Поспелова","nlr"
"12","511_Щираго И.М._Жизнь без горя и печали : Солдатск. сказка Ивана Меркулыча Щираго","nlr"
"13","511_Щираго И.М._Жизнь без горя и печали : Солдатск. сказка Ивана Меркулыча Щираго","rsl"
"14","514_Телегин В._Сказка о царевиче Емельяне Емельяновиче, сынке Емелюшки : В стихах / Соч. штабс-кап. Телегина.","nlr"
"15","517_Телегин В._Омирова Ватрахомиомахия, или Война лягушек и мышей, переложенная в стихи штабс-капитаном Телегиным.","nlr"
"16","517_Телегин В._Омирова Ватрахомиомахия, или Война лягушек и мышей, переложенная в стихи штабс-капитаном Телегиным.","rsl"
"17","518_М. С._Смоленский рынок в Москве : Картина прошедшего времени / Соч. [в стихах] М.С... 1845","nlr"
"18","519_Иверсен А._Старина : Рассказ в стихах / Соч. А. Иверсена","nlr"
"19","520_Бутович А._Эрнест : Повесть в стихах / Соч. А. Бутовича","nlr"
"20","521_Потапов В._Кот в сапогах : Рус. нар. сказка в 3 ч. (в стихах) / Соч. В.Ф. Потапова, авт. сказки Мужичок с ноготок, борода с локоток","nlr"
"21","528_Кузмичев Ф._Спасенная Ниневия пророчеством Ионы : Поэма в 4 песнях / Соч. авт. Сына природы, Федота Кузмичева. / 3-е изд., [печ. с изд. 1841 г. без перемены]","nlr"
"22","528_Кузмичев Ф._Спасенная Ниневия пророчеством Ионы : Поэма в 4 песнях / Соч. авт. Сына природы, Федота Кузмичева. / 3-е изд., [печ. с изд. 1841 г. без перемены]","rsl"
"23","531_Языков Н._Отрок Вячко : [Поэма] ","nlr"
"24","542_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","nlr"
"25","542_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","rsl"
"26","542_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","rozanov"
"27","545_Ваненко И._Бричка, или Обратный путь с Парнаса : (Басни иного манера и комедия на другую стать) / Соч. писателя, желающего остаться неизвестным; Обнаружены читающей публике Иваном Ваненко","nlr"
"28","545_Ваненко И._Бричка, или Обратный путь с Парнаса : (Басни иного манера и комедия на другую стать) / Соч. писателя, желающего остаться неизвестным; Обнаружены читающей публике Иваном Ваненко","rsl"
"29","550_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","nlr"
"30","550_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","rsl"
"31","550_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","rozanov"
"32","551_NA_Правосудие и взятка : Сказка в 2 гл. [в стихах]","nlr"
"33","551_NA_Правосудие и взятка : Сказка в 2 гл. [в стихах]","rsl"
"34","552_NA_Московская сказка о чуде поганом / 2-е изд. с изд. 1842 г.","nlr"
"35","553_NA_Талисман : Хитрая сказка про мудреное дело [в стихах].","nlr"
"36","553_NA_Талисман : Хитрая сказка про мудреное дело [в стихах].","cz_slk"
"37","556_Потапов В._Марьина роща и Сокольники, или Сказание о том, как молодые купчики пропускают сквозь бутылку отцовские денежки : (В стихах) : В 2 ч. и 7 карт. : С 7 новыми хоровыми цыган. и купеч. песнями / Соч. Василья Потапова","nlr"
"38","557_Потапов В._Тайны Нижегородской ярмарки : Нравств.-сатирич. панорама в 4 карт., в стихах / Соч. Василия Потапова","nlr"
"39","558_Потапов В._Чудеса в решете, или Похождение купеческих сынков с купеческими прикащиками на Нижегородской ярмарке : Рус. нар. сцены в 3-х ч. и 8-ми карт. : С 10-ю новыми цыган. и хоровыми песнями / Соч. В.Ф. Потапова","nlr"
"40","558_Потапов В._Чудеса в решете, или Похождение купеческих сынков с купеческими прикащиками на Нижегородской ярмарке : Рус. нар. сцены в 3-х ч. и 8-ми карт. : С 10-ю новыми цыган. и хоровыми песнями / Соч. В.Ф. Потапова","rsl"
"41","559_NA_Дядя по носу глядя : [Сказка в стихах]","nlr"
"42","559_NA_Дядя по носу глядя : [Сказка в стихах]","rsl"
"43","560_Сумароков Д._Дальний боярин : Древ. сказка, которая на быль похожа / Соч. Дмитрия Сумарокова","nlr"
"44","561_Потапов В._Мальчик с пальчик, или Мал золотник, да дорог! : Рус. сказка в 2-х ч. (в стихах) / Соч. В.Ф. Потапова. [Ч. 1-2]. [Ч. 1]","nlr"
"45","562_Потапов В._Мальчик с пальчик, или Мал золотник, да дорог! : Рус. сказка в 2-х ч. (в стихах) / Соч. В.Ф. Потапова. [Ч. 1-2]. [Ч. 2]","nlr"
"46","567_Вахрушев Ф._Гусар : Повесть в стихах / Соч. Фомы Вахрушева","nlr"
"47","574_NA_Московский толкучий рынок : Панорама в 6 карт. : (В стихах).","nlr"
"48","574_NA_Московский толкучий рынок : Панорама в 6 карт. : (В стихах).","rsl"
"49","586_Минаев Д._Слава о Вещем Олеге : [В стихах] / Соч. Д. Минаева","nlr"
"50","586_Минаев Д._Слава о Вещем Олеге : [В стихах] / Соч. Д. Минаева","rsl"
"51","586_Минаев Д._Слава о Вещем Олеге : [В стихах] / Соч. Д. Минаева","rozanov"
"52","590_В.П._Московский гостиный двор, или Искусство покупать и дешево и сердито! : Стихотворение, напис. с натуры : В 9 карт.","nlr"
"53","590_В.П._Московский гостиный двор, или Искусство покупать и дешево и сердито! : Стихотворение, напис. с натуры : В 9 карт.","rozanov"
"54","592_Дрейгарфен М._Кольцо : Повесть в стихах / Соч. М. Дрейгарфена","nlr"
"55","592_Дрейгарфен М._Кольцо : Повесть в стихах / Соч. М. Дрейгарфена","rsl"
"56","592_Дрейгарфен М._Кольцо : Повесть в стихах / Соч. М. Дрейгарфена","cz_slk"
"57","596_Потапов В._Ерш Ершович Щетинников, или Волшебная сказка о гуслях-самогудах с присказками и с шуточками, с песнями и с прибауточками : В 4 ч., в стихах / Соч. В. Потапова","nlr"
"58","596_Потапов В._Ерш Ершович Щетинников, или Волшебная сказка о гуслях-самогудах с присказками и с шуточками, с песнями и с прибауточками : В 4 ч., в стихах / Соч. В. Потапова","rsl"
"59","597_В… Л…_Сказка о невеличке-птичке, или О двух счастливцах : [В стихах] / Соч. В... Л...","nlr"
"60","597_В… Л…_Сказка о невеличке-птичке, или О двух счастливцах : [В стихах] / Соч. В... Л...","rsl"
"61","598_NA_Сказка о Эдуарде-королевиче","nlr"
"62","598_NA_Сказка о Эдуарде-королевиче","cz_slk"
"63","599_Сушков Н.В._Москва : Поэма в лицах и действии, в 5 ч. / [Соч.] Н.В. Сушкова","nlr"
"64","599_Сушков Н.В._Москва : Поэма в лицах и действии, в 5 ч. / [Соч.] Н.В. Сушкова","rsl"
"65","599_Сушков Н.В._Москва : Поэма в лицах и действии, в 5 ч. / [Соч.] Н.В. Сушкова","cz_slk"
"66","601_Вердеревский Е._Октавы / [Соч.] Е. Вердеревского. I : Больной (Рассказ в стихах)","nlr"
"67","601_Вердеревский Е._Октавы / [Соч.] Е. Вердеревского. I : Больной (Рассказ в стихах)","rsl"
"68","601_Вердеревский Е._Октавы / [Соч.] Е. Вердеревского. I : Больной (Рассказ в стихах)","fi_sl"
"69","602_Вердеревский Е._Октавы / [Соч.] Е. Вердеревского. II : Вторая жизнь : (Рассказ в стихах из жизни ""здорового"") : Отрывки","nlr"
"70","602_Вердеревский Е._Октавы / [Соч.] Е. Вердеревского. II : Вторая жизнь : (Рассказ в стихах из жизни ""здорового"") : Отрывки","rsl"
"71","602_Вердеревский Е._Октавы / [Соч.] Е. Вердеревского. II : Вторая жизнь : (Рассказ в стихах из жизни ""здорового"") : Отрывки","fi_sl"
"72","603_Алферьев В._Плащь [!], поэма Василья Алферьева","nlr"
"73","603_Алферьев В._Плащь [!], поэма Василья Алферьева","rsl"
"74","603_Алферьев В._Плащь [!], поэма Василья Алферьева","rozanov"
"75","604_Потапов В._Конек-Горбунок с золотой щетинкой : Новая рус. сказка (в стихах) / Соч. В.Ф. Потапова / 1-е изд.","nlr"
"76","606_Потапов В._Конек-Горбунок и Мужичок с ноготок : Сказочка с шуточками, с присказками и с прибауточками, в стихах / Соч. В.Ф. Потапова.","nlr"
"77","606_Потапов В._Конек-Горбунок и Мужичок с ноготок : Сказочка с шуточками, с присказками и с прибауточками, в стихах / Соч. В.Ф. Потапова.","rsl"
"78","616_Потапов В._Петушок - золотой гребешок, или Ведьмы на шабаше : Рус. сказочка для старых мужьев в 2 ч. (в стихах) / Соч. Василия Потапова","nlr"
"79","617_Потапов В._Ванька-Каин : Рус. сказка (в стихах) : В 2 ч / Соч. В.Ф. Потапова","nlr"
"80","625_Костарев С._Бренко : Поэма / Соч. С. Костарева","nlr"
"81","625_Костарев С._Бренко : Поэма / Соч. С. Костарева","rsl"
"82","625_Костарев С._Бренко : Поэма / Соч. С. Костарева","rozanov"
"83","625_Костарев С._Бренко : Поэма / Соч. С. Костарева","us_harvard"
"84","625_Костарев С._Бренко : Поэма / Соч. С. Костарева","fi_sl"
"85","626_Н. А._Дочь тайны : Повесть в стихах / Соч. Н.А.","nlr"
"86","626_Н. А._Дочь тайны : Повесть в стихах / Соч. Н.А.","us_harvard"
"87","626_Н. А._Дочь тайны : Повесть в стихах / Соч. Н.А.","cz_slk"
"88","631_NA_Соловей разбойник, или Живой мертвец : Сказка, похожая на быль : (В стихах)","nlr"
"89","631_NA_Соловей разбойник, или Живой мертвец : Сказка, похожая на быль : (В стихах)","rsl"
"90","635_Унтерберг А. фон_Эмиль и Лора : Рассказ в стихах Александра фон Унтерберга","nlr"
"91","635_Унтерберг А. фон_Эмиль и Лора : Рассказ в стихах Александра фон Унтерберга","fi_sl"
"92","640_NA_Солдатская сказка : [В стихах]","nlr"
"93","651_Н.И._Поездка по железной дороге из Москвы в Петербург : Рассказ в стихах / Н.И","nlr"
"94","651_Н.И._Поездка по железной дороге из Москвы в Петербург : Рассказ в стихах / Н.И","rsl"
"95","653_Потапов В._Колдун на Сухаревой башне, или Искусство делать золото : Фантаст. рассказ лунатика : [В стихах] / Соч. В.Ф. Потапова.","nlr"
"96","654_Потапов В._Алеша Попович, или Киевские ведьмы на шабаше : Волшебная сказка в 2 ч., в стихах / Соч. Василья [Ф.] Потапова","nlr"
"97","659_NA_Московские свахи, или Купцы и купчики, купеческие жены и купеческие вдовушки : Рассказ в 4 карт. : [В стихах].","nlr"
"98","659_NA_Московские свахи, или Купцы и купчики, купеческие жены и купеческие вдовушки : Рассказ в 4 карт. : [В стихах].","rsl"
"99","663_Попов П._Московские скачки, или Слабые очерки из жизни двух знаменитых коннозаводчиков в России: графа Алексея Григорьевича Орлова-Чесменского и Федора Семеновича Мосолова : В стихах ","nlr"
"100","663_Попов П._Московские скачки, или Слабые очерки из жизни двух знаменитых коннозаводчиков в России: графа Алексея Григорьевича Орлова-Чесменского и Федора Семеновича Мосолова : В стихах ","rsl"
"101","670_Данилевский Гр._Гвая-алир или мехиканские ночи : [Рассказ в стихах / Соч.] Гр. Данилевского","nlr"
"102","670_Данилевский Гр._Гвая-алир или мехиканские ночи : [Рассказ в стихах / Соч.] Гр. Данилевского","rsl"
"103","670_Данилевский Гр._Гвая-алир или мехиканские ночи : [Рассказ в стихах / Соч.] Гр. Данилевского","rozanov"
"104","673_Раич С.Е._Арета. Сказание из времён Марка Аврелия [Поэма]: В 2 ч. Ч. 1.","rsl"
"105","673_Раич С.Е._Арета. Сказание из времён Марка Аврелия [Поэма]: В 2 ч. Ч. 1.","rozanov"
"106","673_Раич С.Е._Арета. Сказание из времён Марка Аврелия [Поэма]: В 2 ч. Ч. 1.","cz_slk"
"107","674_Раич С.Е._Арета. Сказание из времён Марка Аврелия [Поэма]: В 2 ч. Ч. 2.","rsl"
"108","677_NA_Торжественная поэма Киевлянина в восьмидесяти одной песне на рождение его императорского высочества государя, великого князя Владимира Александровича : [С прил.]","nlr"
"109","677_NA_Торжественная поэма Киевлянина в восьмидесяти одной песне на рождение его императорского высочества государя, великого князя Владимира Александровича : [С прил.]","rsl"
"110","677_NA_Торжественная поэма Киевлянина в восьмидесяти одной песне на рождение его императорского высочества государя, великого князя Владимира Александровича : [С прил.]","us_harvard"
"111","678_NA_Радонежский пустынник, св. Сергий Чудотворец : Жизнеопис. стихотворение в девяти песнях / (Соч. авт. стихотворения: ""Хвалебное приношение веры святителю Митрофану..."")","nlr"
"112","678_NA_Радонежский пустынник, св. Сергий Чудотворец : Жизнеопис. стихотворение в девяти песнях / (Соч. авт. стихотворения: ""Хвалебное приношение веры святителю Митрофану..."")","rsl"
"113","678_NA_Радонежский пустынник, св. Сергий Чудотворец : Жизнеопис. стихотворение в девяти песнях / (Соч. авт. стихотворения: ""Хвалебное приношение веры святителю Митрофану..."")","cz_slk"
"114","679_Владимиров М.С._Деревенский праздник, или Радостный ответ на царское слово : Соврем. нар. картина с песнями, написана по случаю высочайшего манифеста, последовавшего в марте месяце, М.С. Владимировым","nlr"
"115","695_NA_Сказка о Бур-Коровиче : [В стихах]","nlr"
"116","695_NA_Сказка о Бур-Коровиче : [В стихах]","rsl"
"117","710_Пальмин М._Сказка о семи братьях родных, молодцах удалых, рассказанная Мих. Пальминым : [В стихах] : В 2 ч.","nlr"
"118","723_Павлов С._Краткий, в стихах, очерк С. Петербурга и другие мелкие стихотворения / [Соч.] Сергея Павлова","nlr"
