"","work","collection"
"1","2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","nlr"
"2","2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","rsl"
"3","2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","rozanov"
"4","2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","us_harvard"
"5","2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","cz_slk"
"6","2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","pl_bn"
"7","2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","pl_buw"
"8","2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","ee_ester"
"9","2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","fi_sl"
"10","4_Бороздна И._Лира / [Соч.] Ивана Бороздны","nlr"
"11","4_Бороздна И._Лира / [Соч.] Ивана Бороздны","rsl"
"12","4_Бороздна И._Лира / [Соч.] Ивана Бороздны","rozanov"
"13","4_Бороздна И._Лира / [Соч.] Ивана Бороздны","fi_sl"
"14","8_Коптев А._Стихотворения","nlr"
"15","8_Коптев А._Стихотворения","rsl"
"16","8_Коптев А._Стихотворения","rozanov"
"17","10_Пушкин В. Л._Записки в стихах","nlr"
"18","10_Пушкин В. Л._Записки в стихах","rsl"
"19","10_Пушкин В. Л._Записки в стихах","rozanov"
"20","10_Пушкин В. Л._Записки в стихах","us_harvard"
"21","11_Слепушкин Ф._Новые досуги сельского жителя","nlr"
"22","11_Слепушкин Ф._Новые досуги сельского жителя","rsl"
"23","11_Слепушкин Ф._Новые досуги сельского жителя","rozanov"
"24","11_Слепушкин Ф._Новые досуги сельского жителя","cz_slk"
"25","11_Слепушкин Ф._Новые досуги сельского жителя","spbgu"
"26","12_Суходольский А._Стихотворения","nlr"
"27","12_Суходольский А._Стихотворения","rozanov"
"28","12_Суходольский А._Стихотворения","fi_sl"
"29","14_Цыганов Н._Русские песни","nlr"
"30","14_Цыганов Н._Русские песни","rsl"
"31","14_Цыганов Н._Русские песни","rozanov"
"32","16_NA_Гортензии: [Стихотворения]","nlr"
"33","16_NA_Гортензии: [Стихотворения]","rozanov"
"34","18_NA_Дитя поэзии : [Стихотворения]","nlr"
"35","18_NA_Дитя поэзии : [Стихотворения]","rsl"
"36","18_NA_Дитя поэзии : [Стихотворения]","rozanov"
"37","18_NA_Дитя поэзии : [Стихотворения]","us_harvard"
"38","18_NA_Дитя поэзии : [Стихотворения]","cz_slk"
"39","18_NA_Дитя поэзии : [Стихотворения]","fi_sl"
"40","20_Линдфорс Н._Стихотворения","nlr"
"41","20_Линдфорс Н._Стихотворения","rsl"
"42","20_Линдфорс Н._Стихотворения","us_harvard"
"43","22_Фукс А._Стихотворения","cz_slk"
"44","23_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","nlr"
"45","23_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","rozanov"
"46","23_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","pl_buw"
"47","23_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","fi_sl"
"48","30_Т-м-ф-в_XII песен. Отд. 3","nlr"
"49","30_Т-м-ф-в_XII песен. Отд. 3","rsl"
"50","34_NA_Песнопения пресвятой и преблагословенной владычице Богородице и приснодеве Марии","nlr"
