"","work","collection"
"81","124_Мейснер А._Стихотворения Алексея Мейснера","cz_slk"
"82","124_Мейснер А._Стихотворения Алексея Мейснера","fi_sl"
"83","124_Мейснер А._Стихотворения Алексея Мейснера","spbgu"
"84","127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","nlr"
"85","127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","rsl"
"86","127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","cz_slk"
"87","127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","fi_sl"
"88","127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","spbgu"
"89","128_Суханов М._Мои сельские досуги","nlr"
"90","128_Суханов М._Мои сельские досуги","rsl"
"91","128_Суханов М._Мои сельские досуги","fi_sl"
"92","128_Суханов М._Мои сельские досуги","spbgu"
"93","129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","nlr"
"94","129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","rsl"
"95","129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","rozanov"
"96","129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","fi_sl"
"97","129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","spbgu"
"98","130_Тростин Х._Стихотворения Христофора Тростина","nlr"
"99","130_Тростин Х._Стихотворения Христофора Тростина","rsl"
"100","130_Тростин Х._Стихотворения Христофора Тростина","rozanov"
"101","134_NA_Мечты при луне. Стихотворения","nlr"
"102","140_А. Ф. Ф._Роза и Василек. Соч. А.Ф.Ф.","nlr"
"103","145_NA_Рукописи из зеленого портфеля","nlr"
"104","145_NA_Рукописи из зеленого портфеля","cz_slk"
"105","145_NA_Рукописи из зеленого портфеля","fi_sl"
"106","154_Бахтурин К.А._Стихотворения Константина Бахтурина","nlr"
"107","154_Бахтурин К.А._Стихотворения Константина Бахтурина","rsl"
"108","154_Бахтурин К.А._Стихотворения Константина Бахтурина","rozanov"
"109","154_Бахтурин К.А._Стихотворения Константина Бахтурина","us_harvard"
"110","155_Бернет Е._Стихи Е. Бернета","nlr"
"111","155_Бернет Е._Стихи Е. Бернета","rsl"
"112","155_Бернет Е._Стихи Е. Бернета","rozanov"
"113","155_Бернет Е._Стихи Е. Бернета","fi_sl"
"114","155_Бернет Е._Стихи Е. Бернета","spbgu"
"115","156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","nlr"
"116","156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","rsl"
"117","156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","rozanov"
"118","156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","us_harvard"
"119","156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","cz_slk"
"120","156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","fi_sl"
"121","156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","spbgu"
"122","157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","nlr"
"123","157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","rsl"
"124","157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","rozanov"
"125","157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","us_harvard"
"126","157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","spbgu"
"127","158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","nlr"
"128","158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","rsl"
"129","158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","cz_slk"
"130","158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","pl_buw"
"131","158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","spbgu"
"132","159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","nlr"
"133","159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","rsl"
"134","159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","us_harvard"
"135","159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","cz_slk"
"136","159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","pl_buw"
"137","159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","fi_sl"
"138","159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","spbgu"
"139","162_Дьячков С._Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","nlr"
"140","162_Дьячков С._Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","rsl"
"141","164_Кашаев В._Стихотворения Виктора Кашаева","nlr"
"142","164_Кашаев В._Стихотворения Виктора Кашаева","rsl"
"143","164_Кашаев В._Стихотворения Виктора Кашаева","rozanov"
"144","164_Кашаев В._Стихотворения Виктора Кашаева","us_harvard"
"145","165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","nlr"
"146","165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","rsl"
"147","165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","us_harvard"
"148","165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","cz_slk"
"149","165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","fi_sl"
"150","166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","nlr"
"151","166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","rsl"
"152","166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","rozanov"
"153","166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","us_harvard"
"154","166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","cz_slk"
"155","166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","fi_sl"
"156","166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","spbgu"
"157","169_Скосырев К._Стихотворения Константина Скосырева","nlr"
"158","169_Скосырев К._Стихотворения Константина Скосырева","rozanov"
"159","170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","nlr"
"160","170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","rsl"
"161","170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","rozanov"
"162","170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","us_harvard"
"163","170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","cz_slk"
"164","170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","fi_sl"
"165","170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","spbgu"
"166","172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","nlr"
"167","172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","rsl"
"168","172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","rozanov"
"169","172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","ee_ester"
"170","172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","fi_sl"
"171","172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","spbgu"
"172","175_Якубович Л.А._Стихотворения Лукьяна Якубовича","nlr"
"173","175_Якубович Л.А._Стихотворения Лукьяна Якубовича","rozanov"
"174","175_Якубович Л.А._Стихотворения Лукьяна Якубовича","fi_sl"
"175","178_Стромилов С._XII сонетов С. Стромилова","nlr"
"176","178_Стромилов С._XII сонетов С. Стромилова","rozanov"
"177","179_П. Гр…в_Звезда любви (L’etoile d’amour). Подарок прелестному полу","nlr"
"178","179_П. Гр…в_Звезда любви (L’etoile d’amour). Подарок прелестному полу","rsl"
"179","180_Громов И._Мой кальян: Стихотворения И. Громова","nlr"
"180","180_Громов И._Мой кальян: Стихотворения И. Громова","us_harvard"
"181","181_Пустельгин_Мои пенаты: Стихотворения Пустельгина","nlr"
"182","181_Пустельгин_Мои пенаты: Стихотворения Пустельгина","spbgu"
"183","182_Магденко А._Стихотворения Андрея Магденки. Издал А. Грен","nlr"
"184","182_Магденко А._Стихотворения Андрея Магденки. Издал А. Грен","rsl"
"185","183_NA_Стихотворения молодого Черкеса","nlr"
"186","183_NA_Стихотворения молодого Черкеса","rsl"
"187","186_Петров И.М._Стихотворения И. Петрова. Книга 1-я, содержащая эпиграммы","nlr"
"188","186_Петров И.М._Стихотворения И. Петрова. Книга 1-я, содержащая эпиграммы","us_harvard"
"189","187_Шаршавый_Цевница, на 1837 год. Соч. Шаршавого (Альманах)","nlr"
"190","187_Шаршавый_Цевница, на 1837 год. Соч. Шаршавого (Альманах)","rsl"
"191","187_Шаршавый_Цевница, на 1837 год. Соч. Шаршавого (Альманах)","us_harvard"
"192","190_П. Ш._Рассказы из русской истории в стихах. Соч. П. Ш.","nlr"
"193","190_П. Ш._Рассказы из русской истории в стихах. Соч. П. Ш.","fi_sl"
"194","192_Шахова Е.Н._Опыт в стихах пятнадцатилетней девицы Елисаветы Шаховой : Писано в 1836 г.","nlr"
"195","193_NA_Разные стихотворения","nlr"
"196","201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","nlr"
"197","201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","rsl"
"198","201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","rozanov"
"199","201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","us_harvard"
"200","201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","pl_buw"
"201","204_Вердеревский А._Стихотворения Александра Вердеревского","nlr"
"202","204_Вердеревский А._Стихотворения Александра Вердеревского","rsl"
"203","204_Вердеревский А._Стихотворения Александра Вердеревского","fi_sl"
"204","205_Веронов_Стихотворения Веронова","nlr"
"205","205_Веронов_Стихотворения Веронова","rsl"
"206","205_Веронов_Стихотворения Веронова","rozanov"
"207","205_Веронов_Стихотворения Веронова","us_harvard"
"208","207_Демидов М._Разные разности. Стихотворения М. Демидова","nlr"
"209","207_Демидов М._Разные разности. Стихотворения М. Демидова","rsl"
"210","207_Демидов М._Разные разности. Стихотворения М. Демидова","rozanov"
"211","207_Демидов М._Разные разности. Стихотворения М. Демидова","us_harvard"
"212","207_Демидов М._Разные разности. Стихотворения М. Демидова","fi_sl"
"213","209_Долгоруков А.В._Поэзия Алексея Москвитянина","nlr"
"214","209_Долгоруков А.В._Поэзия Алексея Москвитянина","rsl"
"215","210_Карелин И.М._Весенние мечты: Стихотворения Ильи Карелина","nlr"
"216","210_Карелин И.М._Весенние мечты: Стихотворения Ильи Карелина","rsl"
"217","210_Карелин И.М._Весенние мечты: Стихотворения Ильи Карелина","us_harvard"
"218","211_Краснов С._Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","nlr"
"219","211_Краснов С._Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","rozanov"
"220","211_Краснов С._Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","cz_slk"
"221","212_Максимов М.И._Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова / Изд. 3-е","nlr"
