"","work","collection"
"82","585_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","rsl"
"83","585_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","rozanov"
"84","585_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","cz_slk"
"85","587_Нольде Н.К._Стихотворения барона Н.К. Нольде 1846 года","nlr"
"86","587_Нольде Н.К._Стихотворения барона Н.К. Нольде 1846 года","rozanov"
"87","588_Скарретка В._Мечты и жизнь поэта / Соч. лишенного зрения Вильгельма Скарретки","nlr"
"88","588_Скарретка В._Мечты и жизнь поэта / Соч. лишенного зрения Вильгельма Скарретки","rsl"
"89","588_Скарретка В._Мечты и жизнь поэта / Соч. лишенного зрения Вильгельма Скарретки","rozanov"
"90","591_Н.Т._Стихотворения / Н.Т.","nlr"
"91","591_Н.Т._Стихотворения / Н.Т.","rozanov"
"92","591_Н.Т._Стихотворения / Н.Т.","fi_sl"
"93","593_Жмакин В._Подарок другу : Стихотворения В. Жмакина","nlr"
"94","593_Жмакин В._Подарок другу : Стихотворения В. Жмакина","rsl"
"95","593_Жмакин В._Подарок другу : Стихотворения В. Жмакина","us_harvard"
"96","594_Фараонов И._Опыт переложения в стихи некоторых мест Священного писания / [Соч.] И. Фараонова","nlr"
"97","594_Фараонов И._Опыт переложения в стихи некоторых мест Священного писания / [Соч.] И. Фараонова","rsl"
"98","595_Чернов П._Стихотворения Платона Чернова (1845, 46 и 47)","nlr"
"99","595_Чернов П._Стихотворения Платона Чернова (1845, 46 и 47)","us_harvard"
"100","605_Уманский И.В._Басни / И.В. Уманского [Кн. 1]","nlr"
"101","605_Уманский И.В._Басни / И.В. Уманского [Кн. 1]","rsl"
"102","605_Уманский И.В._Басни / И.В. Уманского [Кн. 1]","fi_sl"
"103","608_Щербаков Г._Стихотворения / [Соч.] Григория Щербакова.","nlr"
"104","608_Щербаков Г._Стихотворения / [Соч.] Григория Щербакова.","rsl"
"105","609_NA_Туман на заре : [Стихи]","nlr"
"106","612_Глебов Л._Стихотворения. 1845 и 1846 / [Соч.] Леонида Глебова.","nlr"
"107","615_Михайловский Н._Некоторые из духовных стихотворений Николая Михайловского","nlr"
"108","615_Михайловский Н._Некоторые из духовных стихотворений Николая Михайловского","rsl"
"109","620_Остроумов И._Часы моей фантазии : Стихотворения Ивана Остроумова, крестьянина гр. Александра Никитича Панина, Владимир. губ., Гороховец. уезда, села Нижнего Ландеха. Посвящаются любителям поэзии. Ч. 1","nlr"
"110","627_Соваж К._Тревога раздумья : Стихотворения К. Соваж","nlr"
"111","627_Соваж К._Тревога раздумья : Стихотворения К. Соваж","rozanov"
"112","627_Соваж К._Тревога раздумья : Стихотворения К. Соваж","fi_sl"
"113","628_Волошеновский Ф._Поэтические вспышки : Стихотворения Федора Волошеновского","nlr"
"114","628_Волошеновский Ф._Поэтические вспышки : Стихотворения Федора Волошеновского","rsl"
"115","628_Волошеновский Ф._Поэтические вспышки : Стихотворения Федора Волошеновского","fi_sl"
"116","629_Малышев Г._Стихотворения Григория Малышева","nlr"
"117","629_Малышев Г._Стихотворения Григория Малышева","rsl"
"118","629_Малышев Г._Стихотворения Григория Малышева","us_harvard"
"119","629_Малышев Г._Стихотворения Григория Малышева","fi_sl"
"120","630_Шкурин Х.Н._Из действительной жизни : Стихотворения Х.Н. Шкурина","nlr"
"121","630_Шкурин Х.Н._Из действительной жизни : Стихотворения Х.Н. Шкурина","cz_slk"
"122","630_Шкурин Х.Н._Из действительной жизни : Стихотворения Х.Н. Шкурина","ee_ester"
"123","632_Витусов П._Собрание стихотворений П. Витусова","nlr"
"124","632_Витусов П._Собрание стихотворений П. Витусова","fi_sl"
"125","634_Ключарев А._Стихотворения / [Соч.] Александра Ключарева","nlr"
"126","634_Ключарев А._Стихотворения / [Соч.] Александра Ключарева","rsl"
"127","634_Ключарев А._Стихотворения / [Соч.] Александра Ключарева","fi_sl"
"128","636_Голишев Н._Военный досуг : Стихотворения Николая Голишева : С портр. авт.","nlr"
"129","636_Голишев Н._Военный досуг : Стихотворения Николая Голишева : С портр. авт.","rsl"
"130","636_Голишев Н._Военный досуг : Стихотворения Николая Голишева : С портр. авт.","fi_sl"
"131","639_Дуров Н._Стихотворения / [Соч.] Николая Дурова","nlr"
"132","647_Тимошурин К._Разные стихотворения Козьмы Тимошурина","nlr"
"133","648_Покотилов Г._Стихотворения, сочиненные Гавриилом Покотиловым","nlr"
"134","652_Покотилов Г._Увы! - без надежды, или Пагубное последствие пылкой страсти [и др. стихотворения] / Соч. Гавриила Покотилова.","nlr"
"135","665_Любецкий С._Панорама народной русской жизни, особенно московской (представляющая замечательные местности Москвы и ее окрестностей, народные гулянья, праздники, торжища, нравств.-юморист. сцены, типы нравов и вообще соврем. быт наш с некоторыми воспоминаниями о старине) : Нечто вроде альманаха на 1848 г / [Соч.] С. Любецкого.","nlr"
"136","667_Ваненко И._Семейные приключения животных : (Басни иного манера) : [В стихах] / Соч. Ивана Ваненко","nlr"
"137","667_Ваненко И._Семейные приключения животных : (Басни иного манера) : [В стихах] / Соч. Ивана Ваненко","rsl"
"138","667_Ваненко И._Семейные приключения животных : (Басни иного манера) : [В стихах] / Соч. Ивана Ваненко","rozanov"
"139","667_Ваненко И._Семейные приключения животных : (Басни иного манера) : [В стихах] / Соч. Ивана Ваненко","fi_sl"
"140","669_Грузинов И._Отблески поэзии : [Стихотворения] / Соч. Иосифа Грузинова","nlr"
"141","669_Грузинов И._Отблески поэзии : [Стихотворения] / Соч. Иосифа Грузинова","rsl"
"142","669_Грузинов И._Отблески поэзии : [Стихотворения] / Соч. Иосифа Грузинова","rozanov"
"143","669_Грузинов И._Отблески поэзии : [Стихотворения] / Соч. Иосифа Грузинова","fi_sl"
"144","671_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","nlr"
"145","671_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","rsl"
"146","671_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","rozanov"
"147","671_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","lt_vul"
"148","671_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","ee_ester"
"149","671_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","fi_sl"
"150","672_NA_Сазандар : Стихи","nlr"
"151","672_NA_Сазандар : Стихи","rsl"
"152","672_NA_Сазандар : Стихи","rozanov"
"153","672_NA_Сазандар : Стихи","cz_slk"
"154","675_Шахова Е._Мирянка и Отшельница : Стихотворения Елисаветы Шаховой : В 2 ч.","nlr"
"155","675_Шахова Е._Мирянка и Отшельница : Стихотворения Елисаветы Шаховой : В 2 ч.","rsl"
"156","675_Шахова Е._Мирянка и Отшельница : Стихотворения Елисаветы Шаховой : В 2 ч.","rozanov"
"157","686_Жеребей Н._Очерки, силуэты, басни, картины и портреты : В 5 ч. / [Соч.] Николая Жеребея","nlr"
"158","686_Жеребей Н._Очерки, силуэты, басни, картины и портреты : В 5 ч. / [Соч.] Николая Жеребея","rsl"
"159","686_Жеребей Н._Очерки, силуэты, басни, картины и портреты : В 5 ч. / [Соч.] Николая Жеребея","fi_sl"
"160","687_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","nlr"
"161","687_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","rsl"
"162","687_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","rozanov"
"163","687_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","cz_slk"
"164","687_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","ee_ester"
"165","687_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","fi_sl"
"166","692_А. С…._Смесь : [Стихотворения] / Соч. А. С...... ","nlr"
"167","698_Максимов М._Памятник дум, чувств и упований : [Стихотворения] / Соч. М. Максимова","nlr"
"168","698_Максимов М._Памятник дум, чувств и упований : [Стихотворения] / Соч. М. Максимова","rsl"
"169","703_Татаринов П._Новая слава России, или Наши в Венгрии : Соврем. воен. альбом : [Стихи] / Соч. Петра Татаринова.","nlr"
"170","708_NA_Стихотворения на кончину его императорского высочества государя великого князя Михаила Павловича","nlr"
"171","708_NA_Стихотворения на кончину его императорского высочества государя великого князя Михаила Павловича","rsl"
"172","708_NA_Стихотворения на кончину его императорского высочества государя великого князя Михаила Павловича","lt_vul"
"173","721_Фет А._Стихотворения А. Фета","rsl"
"174","721_Фет А._Стихотворения А. Фета","rozanov"
"175","721_Фет А._Стихотворения А. Фета","ee_ester"
"176","721_Фет А._Стихотворения А. Фета","fi_sl"
"177","722_Щербина Н._Греческие стихотворения / [Соч.] Николая Щербины","nlr"
"178","722_Щербина Н._Греческие стихотворения / [Соч.] Николая Щербины","rsl"
"179","722_Щербина Н._Греческие стихотворения / [Соч.] Николая Щербины","rozanov"
"180","724_Е.С._Стихотворения Е.С.","nlr"
"181","733_Бригер Г._Стихотворения / [Соч.] Григория Бригера","nlr"
"182","733_Бригер Г._Стихотворения / [Соч.] Григория Бригера","rsl"
"183","734_Додаев-Магарский И._Стихотворения / [Соч.] Ивана Додаева-Магарского","nlr"
"184","735_Г.Г.Р._Стихотворения / Г.Г.Р. 1.","nlr"
"185","743_Неудачев И._Стихотворения Иосафа Неудачева","nlr"
