"","work","collection"
"1","320_Алексеев П.Ф._Лирические стихотворения и сказки","nlr"
"2","320_Алексеев П.Ф._Лирические стихотворения и сказки","ee_ester"
"3","388_Шахова Е._Повести в стихах Елисаветы Шаховой","nlr"
"4","388_Шахова Е._Повести в стихах Елисаветы Шаховой","rsl"
"5","388_Шахова Е._Повести в стихах Елисаветы Шаховой","rozanov"
"6","388_Шахова Е._Повести в стихах Елисаветы Шаховой","us_harvard"
"7","473_И. В._1. Иван Царевич и Марья царевна. 2. Мачеха и падчерица : Две сказки [в стихах] / Соч. И.В.","nlr"
"8","473_И. В._1. Иван Царевич и Марья царевна. 2. Мачеха и падчерица : Две сказки [в стихах] / Соч. И.В.","rsl"
