"","work","collection"
"1","61_NA_Царь-девица : [Сказка в стихах]","nlr"
"2","61_NA_Царь-девица : [Сказка в стихах]","rsl"
"3","61_NA_Царь-девица : [Сказка в стихах]","rozanov"
"4","62_П. С._Поселенцы : Повесть в стихах","nlr"
"5","62_П. С._Поселенцы : Повесть в стихах","rsl"
"6","62_П. С._Поселенцы : Повесть в стихах","cz_slk"
"7","63_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","nlr"
"8","63_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","rsl"
"9","64_П. К._Мария: Фантастическая повесть в стихах П.К.","nlr"
"10","64_П. К._Мария: Фантастическая повесть в стихах П.К.","lt_vul"
"11","65_Неведомский Н._Бурка: Поэма","nlr"
"12","65_Неведомский Н._Бурка: Поэма","rsl"
"13","65_Неведомский Н._Бурка: Поэма","us_harvard"
"14","66_Кистерзунк А._Померанская быль : [Стихотворение] ","nlr"
"15","67_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","nlr"
"16","67_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","cz_slk"
"17","67_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","fi_sl"
"18","68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","nlr"
"19","68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","rsl"
"20","68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","us_harvard"
"21","68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","fi_sl"
"22","68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","spbgu"
"23","69_NA_Ижорский : Мистерия","nlr"
"24","69_NA_Ижорский : Мистерия","rsl"
"25","69_NA_Ижорский : Мистерия","us_harvard"
"26","69_NA_Ижорский : Мистерия","cz_slk"
"27","69_NA_Ижорский : Мистерия","ee_ester"
"28","70_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","nlr"
"29","70_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","rsl"
"30","111_Алябьев В._Странник: В 2 ч.","nlr"
"31","111_Алябьев В._Странник: В 2 ч.","rsl"
"32","111_Алябьев В._Странник: В 2 ч.","rozanov"
"33","111_Алябьев В._Странник: В 2 ч.","cz_slk"
"34","112_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","nlr"
"35","112_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","cz_slk"
"36","112_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","spbgu"
"37","117_Дьячков С._Стихотворная сказка о дурачке и о кладе","nlr"
"38","117_Дьячков С._Стихотворная сказка о дурачке и о кладе","rsl"
"39","117_Дьячков С._Стихотворная сказка о дурачке и о кладе","rozanov"
"40","117_Дьячков С._Стихотворная сказка о дурачке и о кладе","us_harvard"
"41","117_Дьячков С._Стихотворная сказка о дурачке и о кладе","spbgu"
"42","119_Кашкин Д._Александриада : Поэма","nlr"
"43","119_Кашкин Д._Александриада : Поэма","rsl"
"44","119_Кашкин Д._Александриада : Поэма","us_harvard"
"45","119_Кашкин Д._Александриада : Поэма","fi_sl"
"46","121_NA_Иванушка-дурачок : Рус. сказка в 2 ч.","nlr"
"47","122_Коломийцев Н._Бубновый козырь, или Иванушка дурачок : Сказка в стихах","nlr"
"48","122_Коломийцев Н._Бубновый козырь, или Иванушка дурачок : Сказка в стихах","cz_slk"
"49","132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","rsl"
"50","132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","us_harvard"
"51","132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","cz_slk"
"52","132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","fi_sl"
"53","132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","spbgu"
"54","139_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","nlr"
"55","139_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","rsl"
"56","150_Мартынов А._Колдун и его дети : Старин. рус. сказка : [В стихах] ","nlr"
"57","151_Чистов В._Смирный муж и бранливая жена : Рус. сказка в 3 ч.","nlr"
"58","151_Чистов В._Смирный муж и бранливая жена : Рус. сказка в 3 ч.","spbgu"
"59","152_Ашик А._Изменница: [Поэма]","nlr"
"60","152_Ашик А._Изменница: [Поэма]","rozanov"
"61","153_Алякринский И._Рогнеда : Романтическая поэма","nlr"
"62","153_Алякринский И._Рогнеда : Романтическая поэма","rsl"
"63","153_Алякринский И._Рогнеда : Романтическая поэма","rozanov"
"64","153_Алякринский И._Рогнеда : Романтическая поэма","fi_sl"
"65","167_Подолинский А._Смерть Пери","nlr"
"66","167_Подолинский А._Смерть Пери","rsl"
"67","167_Подолинский А._Смерть Пери","rozanov"
"68","167_Подолинский А._Смерть Пери","us_harvard"
"69","167_Подолинский А._Смерть Пери","lt_vul"
"70","167_Подолинский А._Смерть Пери","fi_sl"
"71","167_Подолинский А._Смерть Пери","spbgu"
"72","168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","nlr"
"73","168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","rsl"
"74","168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","rozanov"
"75","168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","us_harvard"
"76","173_Филимонов В._Обед: Поэма","nlr"
"77","173_Филимонов В._Обед: Поэма","rsl"
"78","173_Филимонов В._Обед: Поэма","rozanov"
"79","173_Филимонов В._Обед: Поэма","us_harvard"
"80","173_Филимонов В._Обед: Поэма","cz_slk"
"81","173_Филимонов В._Обед: Поэма","spbgu"
"82","174_Иноземцов П._Зальмара : [Повесть в стихах]","nlr"
"83","174_Иноземцов П._Зальмара : [Повесть в стихах]","rsl"
"84","174_Иноземцов П._Зальмара : [Повесть в стихах]","us_harvard"
"85","174_Иноземцов П._Зальмара : [Повесть в стихах]","fi_sl"
"86","177_Барышев Е._Еврей: Поэма","nlr"
"87","177_Барышев Е._Еврей: Поэма","rsl"
"88","188_Мысовский-Светогорский С._Вселенная и послание о уме человеческом : Поэма","nlr"
"89","189_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","nlr"
"90","189_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","rsl"
"91","189_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","cz_slk"
"92","222_NA_Хаджибей : Стихотвор. повесть : (Напис. в 1829 г.)","nlr"
"93","222_NA_Хаджибей : Стихотвор. повесть : (Напис. в 1829 г.)","rsl"
"94","223_Бернет Е._Елена: Поэма","nlr"
"95","223_Бернет Е._Елена: Поэма","rsl"
"96","223_Бернет Е._Елена: Поэма","rozanov"
"97","223_Бернет Е._Елена: Поэма","us_harvard"
"98","223_Бернет Е._Елена: Поэма","cz_slk"
"99","223_Бернет Е._Елена: Поэма","fi_sl"
"100","223_Бернет Е._Елена: Поэма","spbgu"
"101","225_NA_Сказка в стихах о Дадоне, или О том, как дурак сделался умным","nlr"
"102","225_NA_Сказка в стихах о Дадоне, или О том, как дурак сделался умным","rsl"
"103","226_И. Ч._Колдун : Старинная донская повесть : [В стихах]","nlr"
"104","226_И. Ч._Колдун : Старинная донская повесть : [В стихах]","rsl"
"105","227_Титов_Пасхальная лампа, поэма в двенадцати песнях","nlr"
"106","227_Титов_Пасхальная лампа, поэма в двенадцати песнях","cz_slk"
"107","227_Титов_Пасхальная лампа, поэма в двенадцати песнях","spbgu"
"108","228_Фукс А._Царевна Несмеяна: Народная сказка, переложенная в стихи для 10-ти летнего читателя П.А. Жмакина.","spbgu"
"109","236_NA_Сказка о Буре-Коровиче","nlr"
"110","242_NA_Новобрачные, или Молодой часовой мастер и его жена : [Повесть] / 2-е изд.","nlr"
"111","242_NA_Новобрачные, или Молодой часовой мастер и его жена : [Повесть] / 2-е изд.","rsl"
"112","244_Поднебесный_Тальони-грация. Соч. Поднебесного","nlr"
"113","244_Поднебесный_Тальони-грация. Соч. Поднебесного","rsl"
"114","254_Волков А._Анна Дорзе: [Повесть в стихах]","nlr"
"115","254_Волков А._Анна Дорзе: [Повесть в стихах]","rsl"
"116","254_Волков А._Анна Дорзе: [Повесть в стихах]","rozanov"
"117","260_Карамзин А._Борис Ульин : Повесть в стихах","nlr"
"118","260_Карамзин А._Борис Ульин : Повесть в стихах","rsl"
"119","260_Карамзин А._Борис Ульин : Повесть в стихах","rozanov"
"120","260_Карамзин А._Борис Ульин : Повесть в стихах","us_harvard"
"121","260_Карамзин А._Борис Ульин : Повесть в стихах","cz_slk"
"122","260_Карамзин А._Борис Ульин : Повесть в стихах","fi_sl"
"123","272_Дьячков С._Деньги : Комич. поэма","nlr"
"124","272_Дьячков С._Деньги : Комич. поэма","rsl"
"125","272_Дьячков С._Деньги : Комич. поэма","cz_slk"
"126","273_Деларю М._Слово о полку Игореве. Песнь об ополчении Игоря, сына Святославова, внука Олегова","nlr"
"127","273_Деларю М._Слово о полку Игореве. Песнь об ополчении Игоря, сына Святославова, внука Олегова","rsl"
"128","274_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","nlr"
"129","274_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","rsl"
