"","work","collection"
"1","532_NA_Метеор : [Сб. стихотворений] : На 1845 год. ","nlr"
"2","532_NA_Метеор : [Сб. стихотворений] : На 1845 год. ","rsl"
"3","532_NA_Метеор : [Сб. стихотворений] : На 1845 год. ","fi_sl"
"4","533_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","nlr"
"5","533_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","rsl"
"6","533_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","cz_slk"
"7","533_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","fi_sl"
"8","563_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","nlr"
"9","563_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","rsl"
"10","563_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","cz_slk"
"11","563_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","fi_sl"
"12","565_NA_Первое апреля : Комич. ил. альманах, сост. из рассказов в стихах и прозе, достопримечательных писем, куплетов, пародий, анекдотов и пуфов / Изд. Н.А. Некрасова.","nlr"
"13","565_NA_Первое апреля : Комич. ил. альманах, сост. из рассказов в стихах и прозе, достопримечательных писем, куплетов, пародий, анекдотов и пуфов / Изд. Н.А. Некрасова.","rsl"
"14","575_NA_Гирляндочка : [Стихотворения] : Подарок на 1846 год любителям и любительницам русского чтения.","nlr"
"15","575_NA_Гирляндочка : [Стихотворения] : Подарок на 1846 год любителям и любительницам русского чтения.","rsl"
"16","576_NA_Новоселье: [альманах]. Часть 3","us_harvard"
"17","576_NA_Новоселье: [альманах]. Часть 3","cz_slk"
"18","576_NA_Новоселье: [альманах]. Часть 3","ee_ester"
"19","577_Аладьин Е. (изд.)_Невский альманах... издаваемый Е. Аладьиным. ... на 1846 год : [стихи и проза / издатель Е.В. Аладьин]","nlr"
"20","577_Аладьин Е. (изд.)_Невский альманах... издаваемый Е. Аладьиным. ... на 1846 год : [стихи и проза / издатель Е.В. Аладьин]","us_harvard"
"21","577_Аладьин Е. (изд.)_Невский альманах... издаваемый Е. Аладьиным. ... на 1846 год : [стихи и проза / издатель Е.В. Аладьин]","cz_slk"
"22","578_Некрасов Н. (изд.)_Петербургский сборник, изданный Н. Некрасовым : В.Г. Белинский, Ф.М. Достоевский, Искандер [псевд. А.И. Герцена], А.И. Кронеберг, А.Н. Майков, Н.А. Некрасов, А.В. Никитенко, кн. В.Ф. Одоевский, И.И. Панаев, гр. В.А. Соллогуб, И.С. Тургенев.","nlr"
"23","578_Некрасов Н. (изд.)_Петербургский сборник, изданный Н. Некрасовым : В.Г. Белинский, Ф.М. Достоевский, Искандер [псевд. А.И. Герцена], А.И. Кронеберг, А.Н. Майков, Н.А. Некрасов, А.В. Никитенко, кн. В.Ф. Одоевский, И.И. Панаев, гр. В.А. Соллогуб, И.С. Тургенев.","rsl"
"24","578_Некрасов Н. (изд.)_Петербургский сборник, изданный Н. Некрасовым : В.Г. Белинский, Ф.М. Достоевский, Искандер [псевд. А.И. Герцена], А.И. Кронеберг, А.Н. Майков, Н.А. Некрасов, А.В. Никитенко, кн. В.Ф. Одоевский, И.И. Панаев, гр. В.А. Соллогуб, И.С. Тургенев.","cz_slk"
"25","579_NA_Московский литературный и ученый сборник : Т. 1","nlr"
"26","579_NA_Московский литературный и ученый сборник : Т. 1","rsl"
"27","579_NA_Московский литературный и ученый сборник : Т. 1","us_harvard"
"28","579_NA_Московский литературный и ученый сборник : Т. 1","cz_slk"
"29","622_NA_Московский литературный и ученый сборник : Т. 2","nlr"
"30","622_NA_Московский литературный и ученый сборник : Т. 2","rsl"
"31","622_NA_Московский литературный и ученый сборник : Т. 2","us_harvard"
"32","622_NA_Московский литературный и ученый сборник : Т. 2","cz_slk"
"33","633_Ваненко И. (изд.)_Междуделье : Альм. разнообраз. ст. по смыслу и качеству, принадлежащих разн. неизвест. писателям и собр. воедино Иваном Ваненко","nlr"
"34","633_Ваненко И. (изд.)_Междуделье : Альм. разнообраз. ст. по смыслу и качеству, принадлежащих разн. неизвест. писателям и собр. воедино Иваном Ваненко","rsl"
"35","633_Ваненко И. (изд.)_Междуделье : Альм. разнообраз. ст. по смыслу и качеству, принадлежащих разн. неизвест. писателям и собр. воедино Иваном Ваненко","fi_sl"
"36","657_NA_Калейдоскоп : Этюды в стихах и прозе. Вып. 1","nlr"
"37","681_NA_Сборник в пользу бедных семейств Басманного отделения на 1849 год : [Рассказы, стихотворения, статьи]","nlr"
"38","681_NA_Сборник в пользу бедных семейств Басманного отделения на 1849 год : [Рассказы, стихотворения, статьи]","rsl"
"39","681_NA_Сборник в пользу бедных семейств Басманного отделения на 1849 год : [Рассказы, стихотворения, статьи]","fi_sl"
"40","684_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 1.","nlr"
"41","684_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 1.","rsl"
"42","684_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 1.","fi_sl"
"43","685_NA_Ярославский литературный сборник. 1849","nlr"
"44","685_NA_Ярославский литературный сборник. 1849","fi_sl"
"45","728_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 2.","nlr"
"46","728_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 2.","rsl"
"47","728_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 2.","fi_sl"
"48","729_NA_На Новый год : Альманах в подарок читателям Москвитянина. ","nlr"
"49","729_NA_На Новый год : Альманах в подарок читателям Москвитянина. ","rsl"
"50","729_NA_На Новый год : Альманах в подарок читателям Москвитянина. ","us_harvard"
"51","729_NA_На Новый год : Альманах в подарок читателям Москвитянина. ","fi_sl"
"52","731_Поздняков Я.М., Пономарев А.П. (изд.)_Поэтические эскизы : Альм. стихотворений изд. Я.М. Позняковым и А.П. Пономаревым.","nlr"
"53","731_Поздняков Я.М., Пономарев А.П. (изд.)_Поэтические эскизы : Альм. стихотворений изд. Я.М. Позняковым и А.П. Пономаревым.","fi_sl"
"54","758_Максимович М. (изд.)_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 3. [На 1850 год]","nlr"
"55","758_Максимович М. (изд.)_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 3. [На 1850 год]","rsl"
"56","758_Максимович М. (изд.)_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 3. [На 1850 год]","cz_slk"
