"","work","collection"
"1","299_Анордист Н._Альманах на 1840 год / Н. Анордиста","nlr"
"2","299_Анордист Н._Альманах на 1840 год / Н. Анордиста","rsl"
"3","299_Анордист Н._Альманах на 1840 год / Н. Анордиста","fi_sl"
"4","306_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","nlr"
"5","306_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","rsl"
"6","306_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","rozanov"
"7","306_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","us_harvard"
"8","306_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","cz_slk"
"9","306_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","fi_sl"
"10","307_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","nlr"
"11","307_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","rsl"
"12","307_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","rozanov"
"13","307_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","us_harvard"
"14","307_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","fi_sl"
"15","308_Лермонтов М.Ю._Стихотворения М. Лермонтова","nlr"
"16","308_Лермонтов М.Ю._Стихотворения М. Лермонтова","rsl"
"17","308_Лермонтов М.Ю._Стихотворения М. Лермонтова","rozanov"
"18","308_Лермонтов М.Ю._Стихотворения М. Лермонтова","us_harvard"
"19","308_Лермонтов М.Ю._Стихотворения М. Лермонтова","cz_slk"
"20","308_Лермонтов М.Ю._Стихотворения М. Лермонтова","ee_ester"
"21","309_Некрасов Н.А._Мечты и звуки. Стихотворения Н.Н.","nlr"
"22","309_Некрасов Н.А._Мечты и звуки. Стихотворения Н.Н.","rsl"
"23","309_Некрасов Н.А._Мечты и звуки. Стихотворения Н.Н.","rozanov"
"24","309_Некрасов Н.А._Мечты и звуки. Стихотворения Н.Н.","fi_sl"
"25","311_Папкевич А._Стихотворения Александра Папкевича","nlr"
"26","311_Папкевич А._Стихотворения Александра Папкевича","rsl"
"27","311_Папкевич А._Стихотворения Александра Папкевича","us_harvard"
"28","311_Папкевич А._Стихотворения Александра Папкевича","spbgu"
"29","312_Слепушкин Ф._Новые досуги Федора Слепушкина","nlr"
"30","312_Слепушкин Ф._Новые досуги Федора Слепушкина","rsl"
"31","312_Слепушкин Ф._Новые досуги Федора Слепушкина","rozanov"
"32","312_Слепушкин Ф._Новые досуги Федора Слепушкина","us_harvard"
"33","312_Слепушкин Ф._Новые досуги Федора Слепушкина","fi_sl"
"34","313_А. Ф._Лирический пантеон. А.Ф.","nlr"
"35","313_А. Ф._Лирический пантеон. А.Ф.","rsl"
"36","313_А. Ф._Лирический пантеон. А.Ф.","rozanov"
"37","313_А. Ф._Лирический пантеон. А.Ф.","us_harvard"
"38","314_Филимонов П.С._Опыты П.С. Филимонова","nlr"
"39","314_Филимонов П.С._Опыты П.С. Филимонова","rsl"
"40","317_NA_Три песни патриота","nlr"
"41","317_NA_Три песни патриота","rsl"
"42","317_NA_Три песни патриота","rozanov"
"43","317_NA_Три песни патриота","cz_slk"
"44","317_NA_Три песни патриота","spbgu"
"45","319_NA_Стихотворения Н.И.","nlr"
"46","321_Саблин Е.И._Полевой цветок: Стихотворения Евгения Саблина","nlr"
"47","322_Криксин_Романсы и песни. Соч. Криксина","nlr"
"48","342_Любатович С._Стихотворения Спиридона Любатовича","nlr"
"49","344_Ибрагимов Л._Стихотворения","nlr"
"50","344_Ибрагимов Л._Стихотворения","rsl"
"51","344_Ибрагимов Л._Стихотворения","rozanov"
"52","344_Ибрагимов Л._Стихотворения","fi_sl"
"53","345_Миньят Ю._Стихотворения воспитанника 5 кл. Виленского дворян. ин-та Юлия Миньята.","nlr"
"54","345_Миньят Ю._Стихотворения воспитанника 5 кл. Виленского дворян. ин-та Юлия Миньята.","rozanov"
"55","345_Миньят Ю._Стихотворения воспитанника 5 кл. Виленского дворян. ин-та Юлия Миньята.","lt_vul"
"56","346_Ростопчина Е._Стихотворения графини Е. Ростопчиной","nlr"
"57","346_Ростопчина Е._Стихотворения графини Е. Ростопчиной","rsl"
"58","346_Ростопчина Е._Стихотворения графини Е. Ростопчиной","rozanov"
"59","346_Ростопчина Е._Стихотворения графини Е. Ростопчиной","fi_sl"
"60","348_Языков И._Стихотворения Ивана Языкова","nlr"
"61","348_Языков И._Стихотворения Ивана Языкова","rsl"
"62","348_Языков И._Стихотворения Ивана Языкова","rozanov"
"63","348_Языков И._Стихотворения Ивана Языкова","fi_sl"
"64","352_Соколова Т._Стихотворения: В 2 ч. Ч. 1","nlr"
"65","352_Соколова Т._Стихотворения: В 2 ч. Ч. 1","cz_slk"
"66","352_Соколова Т._Стихотворения: В 2 ч. Ч. 1","fi_sl"
"67","353_Соколова Т._Стихотворения: В 2 ч. Ч. 2","nlr"
"68","354_Демидов М._Отголоски скитальца : Стихотворения М. Демидова : В 2 отд-ниях","nlr"
"69","354_Демидов М._Отголоски скитальца : Стихотворения М. Демидова : В 2 отд-ниях","rsl"
"70","355_Кульман Е.Б._Полное собрание русских, немецких и итальянских стихотворений : В 3-х частях / 2-е изд","nlr"
"71","356_Мандельштам Л.И._Стихотворения","nlr"
"72","356_Мандельштам Л.И._Стихотворения","fi_sl"
"73","361_Ваненко И._Песни русские / [Соч.] Ивана Ваненко","nlr"
"74","368_Голишев Н._Духовные стихотворения Николая Голишева : Ч. 1","nlr"
"75","369_В. А._Досуги уединения : [Сборник] / В. А.","nlr"
"76","369_В. А._Досуги уединения : [Сборник] / В. А.","rsl"
"77","369_В. А._Досуги уединения : [Сборник] / В. А.","fi_sl"
"78","381_Бочаров И._Стихотворения","nlr"
"79","381_Бочаров И._Стихотворения","rsl"
"80","381_Бочаров И._Стихотворения","rozanov"
"81","381_Бочаров И._Стихотворения","pl_buw"
"82","381_Бочаров И._Стихотворения","fi_sl"
"83","382_Баратынский Е._Сумерки","nlr"
"84","382_Баратынский Е._Сумерки","rsl"
"85","382_Баратынский Е._Сумерки","rozanov"
"86","382_Баратынский Е._Сумерки","us_harvard"
"87","382_Баратынский Е._Сумерки","cz_slk"
"88","383_Бенедиктов В._Стихотворения. Кн. 1 / 3-е изд.","nlr"
"89","383_Бенедиктов В._Стихотворения. Кн. 1 / 3-е изд.","rsl"
"90","383_Бенедиктов В._Стихотворения. Кн. 1 / 3-е изд.","rozanov"
"91","383_Бенедиктов В._Стихотворения. Кн. 1 / 3-е изд.","us_harvard"
"92","383_Бенедиктов В._Стихотворения. Кн. 1 / 3-е изд.","pl_buw"
"93","384_Грузинов И._Мечты и звуки поэзии : [Стихотворения] ","nlr"
"94","384_Грузинов И._Мечты и звуки поэзии : [Стихотворения] ","rsl"
"95","384_Грузинов И._Мечты и звуки поэзии : [Стихотворения] ","rozanov"
"96","384_Грузинов И._Мечты и звуки поэзии : [Стихотворения] ","us_harvard"
"97","384_Грузинов И._Мечты и звуки поэзии : [Стихотворения] ","fi_sl"
"98","385_Майков А._Стихотворения Аполлона Майкова","nlr"
"99","385_Майков А._Стихотворения Аполлона Майкова","rsl"
"100","385_Майков А._Стихотворения Аполлона Майкова","rozanov"
"101","385_Майков А._Стихотворения Аполлона Майкова","us_harvard"
"102","385_Майков А._Стихотворения Аполлона Майкова","fi_sl"
"103","386_NA_Стихотворения Старожила","nlr"
"104","386_NA_Стихотворения Старожила","rsl"
"105","386_NA_Стихотворения Старожила","rozanov"
"106","386_NA_Стихотворения Старожила","us_harvard"
"107","386_NA_Стихотворения Старожила","fi_sl"
"108","387_Полежаев А._Часы выздоровления : Стихотворения А. Полежаева","nlr"
"109","387_Полежаев А._Часы выздоровления : Стихотворения А. Полежаева","rsl"
"110","387_Полежаев А._Часы выздоровления : Стихотворения А. Полежаева","rozanov"
"111","387_Полежаев А._Часы выздоровления : Стихотворения А. Полежаева","us_harvard"
"112","391_Молчанов Н._Стихотворения Николая Молчанова","nlr"
"113","391_Молчанов Н._Стихотворения Николая Молчанова","rsl"
"114","391_Молчанов Н._Стихотворения Николая Молчанова","us_harvard"
"115","391_Молчанов Н._Стихотворения Николая Молчанова","fi_sl"
"116","392_Демидов М._Вечерние досуги : Стихотворения М. Демидова : В 2 отд-ниях. ","nlr"
"117","393_Демидов М._Заветные думы : Стихотворения М. Демидова : В 2 отд-ниях.","nlr"
"118","394_Демидов М._Осенние цветы : Стихотворения М. Демидова : В 2 отд-ниях.","nlr"
"119","395_Ступин Н._Пять стихотворений Н. Ступина. В пользу нуждающихся соотечественников.","nlr"
"120","396_Воронов Н._Стихотворения Николая Воронова за 1841 год","nlr"
"121","397_Н. С._Стихотворения Н.С. ","nlr"
"122","397_Н. С._Стихотворения Н.С. ","fi_sl"
"123","398_Скосырев К._Увраж : Стихотворения Константина Скосырева.","nlr"
"124","398_Скосырев К._Увраж : Стихотворения Константина Скосырева.","fi_sl"
"125","402_Алипанов Е._Военные песни : Соч. Е. Алипанова / 2-е изд.","nlr"
"126","402_Алипанов Е._Военные песни : Соч. Е. Алипанова / 2-е изд.","rsl"
"127","408_Градцев А._Цветы музы : [Стихотворения] / Соч. Александра Градцева","nlr"
"128","408_Градцев А._Цветы музы : [Стихотворения] / Соч. Александра Градцева","rsl"
"129","408_Градцев А._Цветы музы : [Стихотворения] / Соч. Александра Градцева","us_harvard"
"130","412_Хрущов П._Песни правды в 1841 году от рождества Христова / Написанные Петром Хрущовым.","nlr"
"131","413_Любимов Н._Стихотворения Николая Любимова","nlr"
"132","413_Любимов Н._Стихотворения Николая Любимова","rsl"
"133","413_Любимов Н._Стихотворения Николая Любимова","fi_sl"
"134","415_Ваненко И._Звездочка: В 2 ч. / Разные сочинения Ивана Ваненко","nlr"
"135","415_Ваненко И._Звездочка: В 2 ч. / Разные сочинения Ивана Ваненко","rsl"
"136","415_Ваненко И._Звездочка: В 2 ч. / Разные сочинения Ивана Ваненко","fi_sl"
"137","425_Милькеев Е._Стихотворения / [Соч.] Е. Милькеева.","nlr"
"138","425_Милькеев Е._Стихотворения / [Соч.] Е. Милькеева.","rsl"
"139","425_Милькеев Е._Стихотворения / [Соч.] Е. Милькеева.","rozanov"
"140","425_Милькеев Е._Стихотворения / [Соч.] Е. Милькеева.","us_harvard"
"141","425_Милькеев Е._Стихотворения / [Соч.] Е. Милькеева.","fi_sl"
"142","426_Прощаков А._Стихотворения Александра Прощакова","nlr"
"143","426_Прощаков А._Стихотворения Александра Прощакова","rozanov"
"144","427_NA_Опечатки : [Сб. ориг. и пер. стихотворений].","nlr"
"145","427_NA_Опечатки : [Сб. ориг. и пер. стихотворений].","rsl"
"146","427_NA_Опечатки : [Сб. ориг. и пер. стихотворений].","rozanov"
"147","427_NA_Опечатки : [Сб. ориг. и пер. стихотворений].","us_harvard"
"148","427_NA_Опечатки : [Сб. ориг. и пер. стихотворений].","cz_slk"
"149","427_NA_Опечатки : [Сб. ориг. и пер. стихотворений].","fi_sl"
"150","428_Жмакин В._Часы досуга : Стихотворения В. Жмакина.","nlr"
"151","428_Жмакин В._Часы досуга : Стихотворения В. Жмакина.","rsl"
