"","work","collection"
"1","43_Фл… Спин.._Незабудка: Московский Альманах. Соч. Фл.... Спин....","nlr"
"2","43_Фл… Спин.._Незабудка: Московский Альманах. Соч. Фл.... Спин....","rsl"
"3","43_Фл… Спин.._Незабудка: Московский Альманах. Соч. Фл.... Спин....","fi_sl"
"4","47_Максимович М._Денница: Альманах на 1834 год","nlr"
"5","47_Максимович М._Денница: Альманах на 1834 год","fi_sl"
"6","48_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","nlr"
"7","48_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","rsl"
"8","48_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","cz_slk"
"9","48_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","fi_sl"
"10","49_NA_Досуги Марса: Литературные труды офицеров","rsl"
"11","50_NA_Новоселье. Ч. 2","nlr"
"12","50_NA_Новоселье. Ч. 2","rsl"
"13","50_NA_Новоселье. Ч. 2","us_harvard"
"14","50_NA_Новоселье. Ч. 2","cz_slk"
"15","50_NA_Новоселье. Ч. 2","ee_ester"
"16","51_NA_Пантеон дружбы на 1834 год. Собранный И. О-м","nlr"
"17","51_NA_Пантеон дружбы на 1834 год. Собранный И. О-м","rsl"
"18","51_NA_Пантеон дружбы на 1834 год. Собранный И. О-м","fi_sl"
"19","759_Барон Розен (изд.)_Альциона, альманах на 1833 год. Изд. Бароном Розеном","nlr"
"20","759_Барон Розен (изд.)_Альциона, альманах на 1833 год. Изд. Бароном Розеном","rsl"
"21","759_Барон Розен (изд.)_Альциона, альманах на 1833 год. Изд. Бароном Розеном","cz_slk"
"22","760_NA_Комета Белы. Альманах на 1833 год","nlr"
"23","760_NA_Комета Белы. Альманах на 1833 год","fi_sl"
"24","763_Аладьин Е. (изд.)_Невский альманах на 1832 год. Изд. Егором Аладьиным","nlr"
"25","763_Аладьин Е. (изд.)_Невский альманах на 1832 год. Изд. Егором Аладьиным","us_harvard"
"26","763_Аладьин Е. (изд.)_Невский альманах на 1832 год. Изд. Егором Аладьиным","cz_slk"
"27","764_Аладьин Е. (изд.)_Невский альманах на 1833 год. Изд. Егором Аладьиным","nlr"
"28","765_NA_Новоселье: [альманах]. Часть 1","nlr"
"29","765_NA_Новоселье: [альманах]. Часть 1","rsl"
"30","765_NA_Новоселье: [альманах]. Часть 1","us_harvard"
"31","765_NA_Новоселье: [альманах]. Часть 1","cz_slk"
"32","765_NA_Новоселье: [альманах]. Часть 1","ee_ester"
"33","766_NA_Полярная звезда. Карманная книжка для любителей и любительниц чтения. На 1832 год","nlr"
"34","766_NA_Полярная звезда. Карманная книжка для любителей и любительниц чтения. На 1832 год","rsl"
"35","766_NA_Полярная звезда. Карманная книжка для любителей и любительниц чтения. На 1832 год","fi_sl"
"36","767_А.И.Н. (изд.)_Радуга, или карманная книжка для любителей и любительниц чтения, на 1833 год. Издал. А.И.Н.","rsl"
"37","767_А.И.Н. (изд.)_Радуга, или карманная книжка для любителей и любительниц чтения, на 1833 год. Издал. А.И.Н.","us_harvard"
"38","767_А.И.Н. (изд.)_Радуга, или карманная книжка для любителей и любительниц чтения, на 1833 год. Издал. А.И.Н.","fi_sl"
"39","768_Эртель В., Глебов А. (изд.)_Русский альманах на 1832 и 1833 годы","nlr"
"40","768_Эртель В., Глебов А. (изд.)_Русский альманах на 1832 и 1833 годы","rsl"
"41","768_Эртель В., Глебов А. (изд.)_Русский альманах на 1832 и 1833 годы","cz_slk"
"42","768_Эртель В., Глебов А. (изд.)_Русский альманах на 1832 и 1833 годы","ee_ester"
"43","768_Эртель В., Глебов А. (изд.)_Русский альманах на 1832 и 1833 годы","fi_sl"
"44","769_NA_Северные цветы на 1832 год","nlr"
"45","769_NA_Северные цветы на 1832 год","cz_slk"
"46","769_NA_Северные цветы на 1832 год","ee_ester"
"47","770_Глухарев И. (изд.)_Улыбка весны. Альманах на 1832 год. Изд. Н. Глухаревым","nlr"
"48","770_Глухарев И. (изд.)_Улыбка весны. Альманах на 1832 год. Изд. Н. Глухаревым","rsl"
"49","770_Глухарев И. (изд.)_Улыбка весны. Альманах на 1832 год. Изд. Н. Глухаревым","fi_sl"
"50","773_NA_Венера, или собрание стихотворений разных авторов. 4 ч. Иждивением Московского купца Осипа Ивановича Хрусталева","nlr"
"51","773_NA_Венера, или собрание стихотворений разных авторов. 4 ч. Иждивением Московского купца Осипа Ивановича Хрусталева","rsl"
"52","773_NA_Венера, или собрание стихотворений разных авторов. 4 ч. Иждивением Московского купца Осипа Ивановича Хрусталева","fi_sl"
"53","849_NA_Лира Грации. Подарок на Новый год любительницам и любителям пения, или новейшее собрание романсов и песен","nlr"
"54","849_NA_Лира Грации. Подарок на Новый год любительницам и любителям пения, или новейшее собрание романсов и песен","rsl"
"55","855_NA_Три русские народные песни, на пребывание Высочайшего Двора в Москве","nlr"
"56","855_NA_Три русские народные песни, на пребывание Высочайшего Двора в Москве","us_harvard"
"57","857_NA_Эвтерпа, или собрание новейших романсов, баллад и песен известнейших и любимых Русских поэтов","nlr"
"58","857_NA_Эвтерпа, или собрание новейших романсов, баллад и песен известнейших и любимых Русских поэтов","rsl"
"59","858_NA_Эрато. Приношение прекрасному полу, или собрание новейших, отборных и употребительных романсов и песен","nlr"
"60","858_NA_Эрато. Приношение прекрасному полу, или собрание новейших, отборных и употребительных романсов и песен","rsl"
"61","858_NA_Эрато. Приношение прекрасному полу, или собрание новейших, отборных и употребительных романсов и песен","fi_sl"
"62","894_Рябинин П., Комисаров Д._Северные семена на 1831 год. Собрание прозы и стихотворений Петра Рябинина и Дмитрия коммисарова","nlr"
"63","894_Рябинин П., Комисаров Д._Северные семена на 1831 год. Собрание прозы и стихотворений Петра Рябинина и Дмитрия коммисарова","rsl"
"64","894_Рябинин П., Комисаров Д._Северные семена на 1831 год. Собрание прозы и стихотворений Петра Рябинина и Дмитрия коммисарова","fi_sl"
"65","896_Аладьин Е. (изд.)_Невский альманах на 1831 год, изд. Е. Аладьиным","nlr"
"66","897_Дельвиг А. (изд.)_Северные цветы на 1831 год","nlr"
"67","897_Дельвиг А. (изд.)_Северные цветы на 1831 год","rsl"
"68","897_Дельвиг А. (изд.)_Северные цветы на 1831 год","cz_slk"
"69","897_Дельвиг А. (изд.)_Северные цветы на 1831 год","ee_ester"
"70","898_Аладьин Е. (изд.)_Подснежник на 1830 год","rsl"
"71","898_Аладьин Е. (изд.)_Подснежник на 1830 год","ee_ester"
"72","898_Аладьин Е. (изд.)_Подснежник на 1830 год","fi_sl"
"73","899_Коншин Н., Розен Е. (изд.)_Царское село, альманах на 1830 год","cz_slk"
"74","899_Коншин Н., Розен Е. (изд.)_Царское село, альманах на 1830 год","fi_sl"
"75","900_Максимович М. (изд.)_Денница, альманах на 1830 год","us_harvard"
"76","900_Максимович М. (изд.)_Денница, альманах на 1830 год","fi_sl"
"77","902_Арапов П., Новиков Д. (изд.)_Радуга, литературный и музыкальный альманах на 1830 год","us_harvard"
"78","902_Арапов П., Новиков Д. (изд.)_Радуга, литературный и музыкальный альманах на 1830 год","cz_slk"
"79","902_Арапов П., Новиков Д. (изд.)_Радуга, литературный и музыкальный альманах на 1830 год","fi_sl"
"80","903_NA_Эхо, литературный альманах на 1830 год","rsl"
"81","903_NA_Эхо, литературный альманах на 1830 год","cz_slk"
"82","903_NA_Эхо, литературный альманах на 1830 год","fi_sl"
"83","904_Селиванов И. (изд.)_Комета, альманах на 1830 год, изд. И. Селивановым","nlr"
"84","904_Селиванов И. (изд.)_Комета, альманах на 1830 год, изд. И. Селивановым","rsl"
"85","904_Селиванов И. (изд.)_Комета, альманах на 1830 год, изд. И. Селивановым","fi_sl"
"86","905_Петров А., крестьянин Г.П. Бубнов (изд.)_Весенние цветы, подарок для Светлого Праздника на 1830 год, изд. Алексей Петров","rsl"
"87","905_Петров А., крестьянин Г.П. Бубнов (изд.)_Весенние цветы, подарок для Светлого Праздника на 1830 год, изд. Алексей Петров","fi_sl"
"88","906_Барон Розен (изд.)_Альциона, Альманах на 1831 год","rsl"
"89","906_Барон Розен (изд.)_Альциона, Альманах на 1831 год","cz_slk"
"90","907_Барон Розен (изд.)_Альциона, Альманах на 1832 год","rsl"
"91","907_Барон Розен (изд.)_Альциона, Альманах на 1832 год","ee_ester"
"92","909_Соловьев Ф. (изд.)_Северное сияние, альманах на 1831 год","rsl"
"93","909_Соловьев Ф. (изд.)_Северное сияние, альманах на 1831 год","us_harvard"
"94","909_Соловьев Ф. (изд.)_Северное сияние, альманах на 1831 год","fi_sl"
"95","910_NA_Сиротка, литературный альманах на 1831 год, изд. в пользу заведения призрения бедных сирот","rsl"
"96","910_NA_Сиротка, литературный альманах на 1831 год, изд. в пользу заведения призрения бедных сирот","us_harvard"
"97","910_NA_Сиротка, литературный альманах на 1831 год, изд. в пользу заведения призрения бедных сирот","cz_slk"
"98","910_NA_Сиротка, литературный альманах на 1831 год, изд. в пользу заведения призрения бедных сирот","fi_sl"
"99","911_Морозов П., Розенберг М. (изд.)_Одесский альманах на 1831 год","rsl"
"100","911_Морозов П., Розенберг М. (изд.)_Одесский альманах на 1831 год","cz_slk"
"101","911_Морозов П., Розенберг М. (изд.)_Одесский альманах на 1831 год","fi_sl"
"102","912_NA_Украинский альманах","nlr"
"103","912_NA_Украинский альманах","rsl"
"104","913_NA_Цинтия, Альманах на 1832 год","rsl"
"105","913_NA_Цинтия, Альманах на 1832 год","us_harvard"
"106","913_NA_Цинтия, Альманах на 1832 год","cz_slk"
"107","913_NA_Цинтия, Альманах на 1832 год","fi_sl"
"108","916_NA_Роза граций, или собрание стихотворений для прекрасного пола","nlr"
"109","916_NA_Роза граций, или собрание стихотворений для прекрасного пола","rsl"
"110","977_Пуговишников А., Соболев П. (изд.)_Феномен, альманах на 1832 год","nlr"
"111","977_Пуговишников А., Соболев П. (изд.)_Феномен, альманах на 1832 год","rsl"
"112","977_Пуговишников А., Соболев П. (изд.)_Феномен, альманах на 1832 год","fi_sl"
"113","979_NA_Северный певец, или собрание новейших и отличнейших романсов и песен, посвящается любительницам и любителям пения : В 2 ч.","nlr"
"114","979_NA_Северный певец, или собрание новейших и отличнейших романсов и песен, посвящается любительницам и любителям пения : В 2 ч.","cz_slk"
"115","979_NA_Северный певец, или собрание новейших и отличнейших романсов и песен, посвящается любительницам и любителям пения : В 2 ч.","fi_sl"
"116","980_NA_Жасмин и роза, подарок для туалета на 1830 год любительницам и любителям пения, или новейшее собрание романсов и песен","nlr"
"117","980_NA_Жасмин и роза, подарок для туалета на 1830 год любительницам и любителям пения, или новейшее собрание романсов и песен","rsl"
"118","981_NA_Чертополох, карманная книжица для любителей и любительниц галиматьи на XIX столетие","nlr"
"119","981_NA_Чертополох, карманная книжица для любителей и любительниц галиматьи на XIX столетие","rsl"
"120","981_NA_Чертополох, карманная книжица для любителей и любительниц галиматьи на XIX столетие","spbgu"
"121","1027_NA_Старинные диковинки, или собрание простонародных русских сказок и повестей, в стихах и прозе","nlr"
"122","1027_NA_Старинные диковинки, или собрание простонародных русских сказок и повестей, в стихах и прозе","fi_sl"
