"","work","collection"
"1","301_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","nlr"
"2","301_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","rsl"
"3","302_Федоров Н.Н._Писатель : Повесть в стихах : Гл. 1","nlr"
"4","304_Анордист Н._Сказка о прекрасной царевне","nlr"
"5","305_Дьячков С._Сказка о найденном алмазе","nlr"
"6","310_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","nlr"
"7","310_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","rozanov"
"8","316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","nlr"
"9","316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rsl"
"10","316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rozanov"
"11","316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","pl_bn"
"12","328_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","nlr"
"13","328_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","rsl"
"14","329_И. Д._Семь столов для бедных в богоблагословенной Москве : [В стихах] ","nlr"
"15","330_NA_Донской козак : Воспоминание об отечеств. войне : [В стихах] / 2-е изд.","nlr"
"16","332_Оранский Н.Д._Песнь русского барда","nlr"
"17","332_Оранский Н.Д._Песнь русского барда","rsl"
"18","332_Оранский Н.Д._Песнь русского барда","rozanov"
"19","333_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","nlr"
"20","333_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","rsl"
"21","333_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","cz_slk"
"22","343_Мысовский-Светогорский С._Поэма о Сотворении мира","nlr"
"23","343_Мысовский-Светогорский С._Поэма о Сотворении мира","rsl"
"24","347_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","rozanov"
"25","347_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","cz_slk"
"26","347_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","fi_sl"
"27","349_Алексеев П._Мель-дона : Повесть в стихах","nlr"
"28","349_Алексеев П._Мель-дона : Повесть в стихах","pl_bn"
"29","349_Алексеев П._Мель-дона : Повесть в стихах","pl_buw"
"30","350_Я. А._Русская повесть в стихах, взятая из преданий XVI столетия","nlr"
"31","351_Молчанов Н._Ангелина : Повесть в 3 ч. [в стихах]","nlr"
"32","351_Молчанов Н._Ангелина : Повесть в 3 ч. [в стихах]","rsl"
"33","358_NA_Баба-Яга, костяная нога : Русская, народная сказка, в стихах. В осьми главах","nlr"
"34","358_NA_Баба-Яга, костяная нога : Русская, народная сказка, в стихах. В осьми главах","rsl"
"35","359_Голодников К._Ковер самолет : Рус. сказка : В 3 ч.","nlr"
"36","370_NA_Виолетта или Феины сказки : [В стихах]","nlr"
"37","370_NA_Виолетта или Феины сказки : [В стихах]","rsl"
"38","374_К. Е…._Месть за месть : (Древнее рус. нар. предание) : Повесть в стихах / Соч. К.Е....... ","nlr"
"39","374_К. Е…._Месть за месть : (Древнее рус. нар. предание) : Повесть в стихах / Соч. К.Е....... ","rsl"
"40","376_Орлов А._Малолеток, кормилец престарелого, обнищавшего отца своего, или Чистое родительское благословение : [В стихах] / Соч. Александра Орлова","nlr"
"41","377_Орлов А._Погребение купца, или Два, одно другому противные завещания для наследников : [В стихах] / Соч. Александра Орлова","nlr"
"42","377_Орлов А._Погребение купца, или Два, одно другому противные завещания для наследников : [В стихах] / Соч. Александра Орлова","rsl"
"43","377_Орлов А._Погребение купца, или Два, одно другому противные завещания для наследников : [В стихах] / Соч. Александра Орлова","rozanov"
"44","389_Горев М._Багир хан : Татар. предание [в стихах]","nlr"
"45","389_Горев М._Багир хан : Татар. предание [в стихах]","lt_vul"
"46","390_Зотов В._Последний хеак : Поэма","nlr"
"47","390_Зотов В._Последний хеак : Поэма","fi_sl"
"48","399_И.Ф. До…ча…ва_Ролланд и Шарлота : Роман в стихах","nlr"
"49","403_Алипанов Е._Духовная повесть / 2-е изд.","nlr"
"50","410_NA_Мечта : Рассказ в стихах.","nlr"
"51","431_Дьячков С._Кошка-вор : Забавная быль в стихах / Соч. Семена Дьячкова. ","nlr"
"52","432_Куражсковский М._Бедокур : Рус. сказка / Соч. Михаила Куражсковского.","nlr"
"53","432_Куражсковский М._Бедокур : Рус. сказка / Соч. Михаила Куражсковского.","rsl"
"54","443_NA_Волшебный замок или Сказка о знаменитом рыцаре Родриге и о волшебнике Роасе, продавшем душу свою демону.","nlr"
"55","444_Т. Л._Параша : Рассказ в стихах Т.Л. : Писано в нач. 1843 г.","nlr"
"56","444_Т. Л._Параша : Рассказ в стихах Т.Л. : Писано в нач. 1843 г.","rsl"
"57","447_NA_Исповедь : [Отрывки из поэмы].","nlr"
"58","451_Гребенка Е._Богдан : Сцены из жизни малороссийск. гетмана Зиновия Хмельницкого : [В стихах] / Соч. Е. Гребенка","nlr"
"59","458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","nlr"
"60","458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","rsl"
"61","458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","rozanov"
"62","458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","us_harvard"
"63","458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","cz_slk"
"64","463_Потапов В._Мужичок с ноготок, борода с локоток : Рус. сказка в 2 ч. (в стихах) / Соч. Василия Потапова.","nlr"
"65","463_Потапов В._Мужичок с ноготок, борода с локоток : Рус. сказка в 2 ч. (в стихах) / Соч. Василия Потапова.","rozanov"
"66","463_Потапов В._Мужичок с ноготок, борода с локоток : Рус. сказка в 2 ч. (в стихах) / Соч. Василия Потапова.","fi_sl"
"67","468_NA_Горный охотник : Поэма [в стихах].","nlr"
"68","468_NA_Горный охотник : Поэма [в стихах].","rsl"
"69","468_NA_Горный охотник : Поэма [в стихах].","rozanov"
"70","468_NA_Горный охотник : Поэма [в стихах].","fi_sl"
"71","469_Григорий Коб…ов_Король Энцио : Повесть в стихах, Григория Коб...ова.","nlr"
"72","469_Григорий Коб…ов_Король Энцио : Повесть в стихах, Григория Коб...ова.","rsl"
"73","474_NA_Наказанный колдун : Сказка в стихах.","nlr"
"74","475_Бенкен И.Ф._Сказка о царе-горбуне и о колдунье Чертоухе / Соч. И.Ф. Бенкен.","nlr"
"75","480_NA_Убиение страшного змея Георгием Победоносцем и обращение жителей города Вирита к истинному богу : В 4 песнях.","nlr"
