"","work","collection"
"1","547_Бартдинский И._Опыты в стихах / [Соч.] И. Бартдинского. Тетрадь 1: : [Варюша ; Деревенский мечтатель]","nlr"
"2","547_Бартдинский И._Опыты в стихах / [Соч.] И. Бартдинского. Тетрадь 1: : [Варюша ; Деревенский мечтатель]","ee_ester"
"3","582_Голишев Н._Повести Николая Голишева : В стихах","nlr"
"4","582_Голишев Н._Повести Николая Голишева : В стихах","rsl"
"5","582_Голишев Н._Повести Николая Голишева : В стихах","rozanov"
"6","582_Голишев Н._Повести Николая Голишева : В стихах","fi_sl"
"7","589_П.В.Ш._Москва 1147-1847 : Рассказы москвитянина : [В стихах] / П.В.Ш.","nlr"
"8","589_П.В.Ш._Москва 1147-1847 : Рассказы москвитянина : [В стихах] / П.В.Ш.","rsl"
"9","589_П.В.Ш._Москва 1147-1847 : Рассказы москвитянина : [В стихах] / П.В.Ш.","rozanov"
"10","589_П.В.Ш._Москва 1147-1847 : Рассказы москвитянина : [В стихах] / П.В.Ш.","cz_slk"
