"","work","signature"
"74","1836_120_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","rsl"
"75","1836_120_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","us_harvard"
"76","1836_120_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","cz_slk"
"77","1836_120_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","fi_sl"
"78","1836_129_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","nlr_1"
"79","1836_129_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","rsl"
"80","1837_135_Чистов В._Смирный муж и бранливая жена : Рус. сказка в 3 ч.","nlr_1"
"81","1837_136_Ашик А._Изменница: [Поэма]","nlr_1"
"82","1837_136_Ашик А._Изменница: [Поэма]","roz_1"
"83","1837_137_Алякринский И._Рогнеда : Романтическая поэма","nlr_1"
"84","1837_137_Алякринский И._Рогнеда : Романтическая поэма","rsl"
"85","1837_137_Алякринский И._Рогнеда : Романтическая поэма","roz_1"
"86","1837_137_Алякринский И._Рогнеда : Романтическая поэма","fi_sl"
"87","1837_140_Бернет Е._Граф Мец : [Драма в стихах] : В 2 ч. : (Писано в 1834 г.)","nlr_1"
"88","1837_140_Бернет Е._Граф Мец : [Драма в стихах] : В 2 ч. : (Писано в 1834 г.)","rsl"
"89","1837_140_Бернет Е._Граф Мец : [Драма в стихах] : В 2 ч. : (Писано в 1834 г.)","roz_1"
"90","1837_140_Бернет Е._Граф Мец : [Драма в стихах] : В 2 ч. : (Писано в 1834 г.)","us_harvard"
"91","1837_140_Бернет Е._Граф Мец : [Драма в стихах] : В 2 ч. : (Писано в 1834 г.)","cz_slk"
"92","1837_157_Подолинский А._Смерть Пери","nlr_1"
"93","1837_157_Подолинский А._Смерть Пери","rsl"
"94","1837_157_Подолинский А._Смерть Пери","roz_1"
"95","1837_157_Подолинский А._Смерть Пери","us_harvard"
"96","1837_157_Подолинский А._Смерть Пери","lt_vul"
"97","1837_157_Подолинский А._Смерть Пери","fi_sl"
"98","1837_158_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","nlr_1"
"99","1837_158_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","rsl"
"100","1837_158_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","roz_1"
"101","1837_158_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","us_harvard"
"102","1837_164_Филимонов В._Обед: Поэма","nlr_1"
"103","1837_164_Филимонов В._Обед: Поэма","rsl"
"104","1837_164_Филимонов В._Обед: Поэма","roz_1"
"105","1837_164_Филимонов В._Обед: Поэма","us_harvard"
"106","1837_164_Филимонов В._Обед: Поэма","cz_slk"
"107","1837_165_Иноземцов П._Зальмара : [Повесть в стихах]","nlr_1"
"108","1837_165_Иноземцов П._Зальмара : [Повесть в стихах]","rsl"
"109","1837_165_Иноземцов П._Зальмара : [Повесть в стихах]","us_harvard"
"110","1837_165_Иноземцов П._Зальмара : [Повесть в стихах]","fi_sl"
"111","1837_168_Барышев Е._Еврей: Поэма","nlr_1"
"112","1837_168_Барышев Е._Еврей: Поэма","rsl"
"113","1837_181_Мысовский-Светогорский С._Вселенная и послание о уме человеческом : Поэма","nlr_1"
"114","1837_182_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","nlr_1"
"115","1837_182_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","rsl"
"116","1837_182_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","cz_slk"
"117","1838_214_NA_Хаджибей : Стихотвор. повесть : (Напис. в 1829 г.)","nlr_1"
"118","1838_214_NA_Хаджибей : Стихотвор. повесть : (Напис. в 1829 г.)","rsl"
"119","1838_215_Бернет Е._Елена: Поэма","nlr_1"
"120","1838_215_Бернет Е._Елена: Поэма","rsl"
"121","1838_215_Бернет Е._Елена: Поэма","roz_1"
"122","1838_215_Бернет Е._Елена: Поэма","us_harvard"
"123","1838_215_Бернет Е._Елена: Поэма","cz_slk"
"124","1838_215_Бернет Е._Елена: Поэма","fi_sl"
"125","1838_217_NA_Сказка в стихах о Дадоне, или О том, как дурак сделался умным","nlr_1"
"126","1838_217_NA_Сказка в стихах о Дадоне, или О том, как дурак сделался умным","rsl"
"127","1838_218_И. Ч._Колдун : Старинная донская повесть : [В стихах]","nlr_1"
"128","1838_218_И. Ч._Колдун : Старинная донская повесть : [В стихах]","rsl"
"129","1838_219_Титов_Пасхальная лампа, поэма в двенадцати песнях","nlr_1"
"130","1838_219_Титов_Пасхальная лампа, поэма в двенадцати песнях","cz_slk"
"131","1838_239_NA_Сказка о Буре-Коровиче","nlr_1"
"132","1838_251_NA_Новобрачные, или Молодой часовой мастер и его жена : [Повесть] / 2-е изд.","nlr_1"
"133","1838_251_NA_Новобрачные, или Молодой часовой мастер и его жена : [Повесть] / 2-е изд.","rsl"
"134","1838_253_Поднебесный_Тальони-грация. Соч. Поднебесного","nlr_1"
"135","1838_253_Поднебесный_Тальони-грация. Соч. Поднебесного","rsl"
"136","1839_254_Волков А._Анна Дорзе: [Повесть в стихах]","nlr_1"
"137","1839_254_Волков А._Анна Дорзе: [Повесть в стихах]","rsl"
"138","1839_254_Волков А._Анна Дорзе: [Повесть в стихах]","roz_1"
"139","1839_263_Карамзин А._Борис Ульин : Повесть в стихах","nlr_1"
"140","1839_263_Карамзин А._Борис Ульин : Повесть в стихах","rsl"
"141","1839_263_Карамзин А._Борис Ульин : Повесть в стихах","roz_1"
"142","1839_263_Карамзин А._Борис Ульин : Повесть в стихах","us_harvard"
"143","1839_263_Карамзин А._Борис Ульин : Повесть в стихах","cz_slk"
"144","1839_263_Карамзин А._Борис Ульин : Повесть в стихах","fi_sl"
"145","1839_278_Дьячков С._Деньги : Комич. поэма","nlr_1"
"146","1839_278_Дьячков С._Деньги : Комич. поэма","rsl"
"147","1839_278_Дьячков С._Деньги : Комич. поэма","cz_slk"
"148","1839_279_Деларю М._Слово о полку Игореве. Песнь об ополчении Игоря, сына Святославова, внука Олегова","nlr_1"
"149","1839_279_Деларю М._Слово о полку Игореве. Песнь об ополчении Игоря, сына Святославова, внука Олегова","rsl"
"150","1839_280_Ходзько А._Дерар : Вост. повесть в стихах : Пер. [с пол.]","nlr_1"
"151","1839_280_Ходзько А._Дерар : Вост. повесть в стихах : Пер. [с пол.]","rsl"
"152","1839_280_Ходзько А._Дерар : Вост. повесть в стихах : Пер. [с пол.]","cz_slk"
"153","1839_280_Ходзько А._Дерар : Вост. повесть в стихах : Пер. [с пол.]","fi_sl"
"154","1839_281_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","nlr_1"
"155","1839_281_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","rsl"
"156","1839_281_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","us_harvard"
"157","1839_282_NA_Полина : роман в стихах","nlr_1"
"158","1839_282_NA_Полина : роман в стихах","rsl"
"159","1839_282_NA_Полина : роман в стихах","cz_slk"
"160","1839_284_NA_Сказка о Марье Маревне, кипрской королевне и Иванушке-дурачке, русском мужичке : В стихах","nlr_1"
"161","1839_293_А. К._Вечер в клубе : Шуточ. рассказ в стихах","nlr_1"
"162","1839_293_А. К._Вечер в клубе : Шуточ. рассказ в стихах","rsl"
"163","1839_293_А. К._Вечер в клубе : Шуточ. рассказ в стихах","us_harvard"
"164","1839_293_А. К._Вечер в клубе : Шуточ. рассказ в стихах","cz_slk"
"165","1839_294_А. О._Элоа : Индийская легенда","nlr_1"
"166","1839_294_А. О._Элоа : Индийская легенда","rsl"
"167","1839_294_А. О._Элоа : Индийская легенда","cz_slk"
"168","1839_297_Севастьянов В._Горка под каретой, или За женщин, карты и вино поссориться немудрено!!! / Соч. в стихах Владимира Севастьянова","nlr_1"
"169","1840_302_Дьячков С._Деньги : Комич. поэма / Соч. Семена Дьячкова. / 2-е изд.","nlr_1"
"170","1840_302_Дьячков С._Деньги : Комич. поэма / Соч. Семена Дьячкова. / 2-е изд.","rsl"
"171","1840_307_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","nlr_1"
"172","1840_307_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","rsl"
"173","1840_308_Федоров Н.Н._Писатель : Повесть в стихах : Гл. 1","nlr_1"
