"","work","signature"
"52","_1841_304_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","cz_slk"
"53","_1841_304_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","ee_ester"
"54","_1840_322_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","nlr_1"
"55","_1840_322_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","rsl"
"56","_1840_322_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","ee_ester"
"57","_1840_325_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","nlr_1"
"58","_1840_325_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","rsl"
"59","_1840_325_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","cz_slk"
"60","_1840_339_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","nlr_1"
"61","_1840_339_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","rsl"
"62","_1840_339_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","us_harvard"
"63","_1840_339_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","pl_bn"
"64","_1840_339_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","ee_ester"
"65","_1838_348_Глухарев И.Н._Венок граций. Подарок любителям и любительницам пения и романсов, или Собрание разных стихов лучших и известных сочинителей, как то, А. Пушкина, И. Козлова, Г. Баратынского, и прочая. Собранные И… Г.л.у…вым","nlr_1"
"66","_1838_348_Глухарев И.Н._Венок граций. Подарок любителям и любительницам пения и романсов, или Собрание разных стихов лучших и известных сочинителей, как то, А. Пушкина, И. Козлова, Г. Баратынского, и прочая. Собранные И… Г.л.у…вым","rsl"
"67","_1840_352_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","nlr_1"
"68","_1840_352_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","rsl"
"69","_1840_352_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","cz_slk"
