"","work","signature"
"79","1835_73_Кольцов А._Стихотворения Алексея Кольцова","rsl"
"80","1835_73_Кольцов А._Стихотворения Алексея Кольцова","roz_1"
"81","1835_73_Кольцов А._Стихотворения Алексея Кольцова","ee_ester"
"82","1835_73_Кольцов А._Стихотворения Алексея Кольцова","fi_sl"
"83","1835_74_Лебедев В._Осенний вечер: [Сб. рассказов и стихов], изданный В. Лебедевым","nlr_1"
"84","1835_74_Лебедев В._Осенний вечер: [Сб. рассказов и стихов], изданный В. Лебедевым","rsl"
"85","1835_74_Лебедев В._Осенний вечер: [Сб. рассказов и стихов], изданный В. Лебедевым","cz_slk"
"86","1835_74_Лебедев В._Осенний вечер: [Сб. рассказов и стихов], изданный В. Лебедевым","fi_sl"
"87","1835_75_Меркли М._Стихотворения Михаила Меркли","nlr_1"
"88","1835_75_Меркли М._Стихотворения Михаила Меркли","rsl"
"89","1835_75_Меркли М._Стихотворения Михаила Меркли","roz_1"
"90","1835_75_Меркли М._Стихотворения Михаила Меркли","us_harvard"
"91","1835_75_Меркли М._Стихотворения Михаила Меркли","fi_sl"
"92","1836_77_Меркли М._Стихотворения Михаила Меркли","nlr_1"
"93","1836_77_Меркли М._Стихотворения Михаила Меркли","roz_1"
"94","1835_78_Мятлев И.П._Собрание стихотворений","nlr_1"
"95","1835_78_Мятлев И.П._Собрание стихотворений","rsl"
"96","1835_78_Мятлев И.П._Собрание стихотворений","roz_1"
"97","1835_81_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","nlr_1"
"98","1835_81_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","rsl"
"99","1835_81_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","roz_1"
"100","1835_81_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","us_harvard"
"101","1835_81_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","cz_slk"
"102","1835_81_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","ee_ester"
"103","1835_82_Риль Ю._Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем.","nlr_1"
"104","1835_82_Риль Ю._Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем.","rsl"
"105","1835_84_NA_Весенняя ветка. Стихотворения","nlr_1"
"106","1835_84_NA_Весенняя ветка. Стихотворения","roz_1"
"107","1835_84_NA_Весенняя ветка. Стихотворения","fi_sl"
"108","1835_85_Т-м-ф-в_Песни: В 2 ч.","nlr_1"
"109","1835_85_Т-м-ф-в_Песни: В 2 ч.","rsl"
"110","1835_85_Т-м-ф-в_Песни: В 2 ч.","roz_1"
"111","1835_85_Т-м-ф-в_Песни: В 2 ч.","fi_sl"
"112","1835_86_Топчибашев М. Д._На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева","nlr_1"
"113","1835_86_Топчибашев М. Д._На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева","rsl"
"114","1835_89_Цитович Н._Басни Н. Цитовича","nlr_1"
"115","1835_89_Цитович Н._Басни Н. Цитовича","us_harvard"
"116","1835_90_Бенедиктов В._Стихотворения Владимира Бенедиктова","nlr_1"
"117","1835_90_Бенедиктов В._Стихотворения Владимира Бенедиктова","rsl"
"118","1835_90_Бенедиктов В._Стихотворения Владимира Бенедиктова","roz_1"
"119","1835_90_Бенедиктов В._Стихотворения Владимира Бенедиктова","fi_sl"
"120","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","nlr_1"
"121","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","rsl"
"122","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","roz_1"
"123","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","cz_slk"
"124","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","ee_ester"
"125","1836_95_Аполлон де ***_Стихотворения Аполлона де ***","nlr_1"
"126","1836_95_Аполлон де ***_Стихотворения Аполлона де ***","rsl"
"127","1836_95_Аполлон де ***_Стихотворения Аполлона де ***","roz_1"
"128","1836_95_Аполлон де ***_Стихотворения Аполлона де ***","cz_slk"
"129","1836_99_Зилов А._Стихотворения Алексея Зилова. Тетрадь 2-я","nlr_1"
"130","1836_99_Зилов А._Стихотворения Алексея Зилова. Тетрадь 2-я","fi_sl"
"131","1836_101_Кашкин Д._Стихотворения Дмитрия Кашкина","nlr_1"
"132","1836_101_Кашкин Д._Стихотворения Дмитрия Кашкина","rsl"
"133","1836_101_Кашкин Д._Стихотворения Дмитрия Кашкина","roz_1"
"134","1836_107_Лавров Н._Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова","nlr_1"
"135","1836_107_Лавров Н._Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова","rsl"
