"","work","signature"
"62","1846_536_Бартдинский И._Опыты в стихах / [Соч.] И. Бартдинского. Тетрадь 1: : [Варюша ; Деревенский мечтатель]","nlr_1"
"63","1846_536_Бартдинский И._Опыты в стихах / [Соч.] И. Бартдинского. Тетрадь 1: : [Варюша ; Деревенский мечтатель]","ee_ester"
"64","1847_557_Голишев Н._Повести Николая Голишева : В стихах","nlr_1"
"65","1847_557_Голишев Н._Повести Николая Голишева : В стихах","rsl"
"66","1847_557_Голишев Н._Повести Николая Голишева : В стихах","roz_1"
"67","1847_557_Голишев Н._Повести Николая Голишева : В стихах","fi_sl"
"68","1847_564_П.В.Ш._Москва 1147-1847 : Рассказы москвитянина : [В стихах] / П.В.Ш.","nlr_1"
"69","1847_564_П.В.Ш._Москва 1147-1847 : Рассказы москвитянина : [В стихах] / П.В.Ш.","rsl"
"70","1847_564_П.В.Ш._Москва 1147-1847 : Рассказы москвитянина : [В стихах] / П.В.Ш.","roz_1"
"71","1847_564_П.В.Ш._Москва 1147-1847 : Рассказы москвитянина : [В стихах] / П.В.Ш.","cz_slk"
"72","1834_681_Машков П._Повести [и мечты] / [Соч.] П. Машкова. [Ч. 1-3]. [Ч. 3 : Вероломство ; Стихотворения].","nlr_1"
"73","1835_866_Никитин А._Повести Александра Никитина : 1-[2]","nlr_1"
"74","1835_866_Никитин А._Повести Александра Никитина : 1-[2]","rsl"
"75","1835_866_Никитин А._Повести Александра Никитина : 1-[2]","cz_slk"
