"","work","signature"
"56","1834_629_Соболев А._Черный день Трещоткиной : Комедия в 3 д., в стихах","rsl"
"57","1834_629_Соболев А._Черный день Трещоткиной : Комедия в 3 д., в стихах","fi_sl"
"58","1835_640_Н.К._Князь Михаил Васильевич Скопин-Шуйский : драма в 5-ти актах, в стихах / сочинение Н.К.","nlr_1"
"59","1835_640_Н.К._Князь Михаил Васильевич Скопин-Шуйский : драма в 5-ти актах, в стихах / сочинение Н.К.","rsl"
"60","1835_640_Н.К._Князь Михаил Васильевич Скопин-Шуйский : драма в 5-ти актах, в стихах / сочинение Н.К.","cz_slk"
"61","1835_640_Н.К._Князь Михаил Васильевич Скопин-Шуйский : драма в 5-ти актах, в стихах / сочинение Н.К.","fi_sl"
"62","1834_641_Н.К._Рука всевышнего отечество спасла : Драма из отеч. истории, в 5 актах, в стихах : (Писана в октябре 1832 г.) / Соч. Н.К.","nlr_1"
"63","1834_641_Н.К._Рука всевышнего отечество спасла : Драма из отеч. истории, в 5 актах, в стихах : (Писана в октябре 1832 г.) / Соч. Н.К.","rsl"
"64","1834_641_Н.К._Рука всевышнего отечество спасла : Драма из отеч. истории, в 5 актах, в стихах : (Писана в октябре 1832 г.) / Соч. Н.К.","lt_vul"
"65","1834_641_Н.К._Рука всевышнего отечество спасла : Драма из отеч. истории, в 5 актах, в стихах : (Писана в октябре 1832 г.) / Соч. Н.К.","fi_sl"
"66","1841_642_Г.Г._Интересные проделки, или Невеста двух женихов : Комедия в 5 д. в стихах / Соч. Г.Г.","nlr_1"
"67","1841_642_Г.Г._Интересные проделки, или Невеста двух женихов : Комедия в 5 д. в стихах / Соч. Г.Г.","rsl"
"68","1841_642_Г.Г._Интересные проделки, или Невеста двух женихов : Комедия в 5 д. в стихах / Соч. Г.Г.","fi_sl"
"69","1845_651_Зотов Р._Новая школа мужей : Комедия в 5 д. в стихах / Соч. Р. Зотова","nlr_1"
"70","1845_651_Зотов Р._Новая школа мужей : Комедия в 5 д. в стихах / Соч. Р. Зотова","fi_sl"
"71","1849_673_Мей Л._Царская невеста : Драма в 3 д. Л. Мея.","nlr_1"
"72","1849_673_Мей Л._Царская невеста : Драма в 3 д. Л. Мея.","rsl"
"73","1849_673_Мей Л._Царская невеста : Драма в 3 д. Л. Мея.","fi_sl"
"74","1835_685_NA_Палермские бандиты : Опера в 5 д. и в стихах","nlr_1"
"75","1835_685_NA_Палермские бандиты : Опера в 5 д. и в стихах","rsl"
"76","1835_685_NA_Палермские бандиты : Опера в 5 д. и в стихах","cz_slk"
"77","1835_686_Бейер Г. фон_Заговор против себя, или Сон в руку : Сцен. безделка в 1 д., в стихах / Соч. Гавр. фон Бейера","nlr_1"
"78","1835_686_Бейер Г. фон_Заговор против себя, или Сон в руку : Сцен. безделка в 1 д., в стихах / Соч. Гавр. фон Бейера","rsl"
"79","1837_694_Эмилинский В._Пять дней из жизни Орфея : Драм. картины [в стихах] / Соч. В. Эмилинского","nlr_1"
"80","1837_694_Эмилинский В._Пять дней из жизни Орфея : Драм. картины [в стихах] / Соч. В. Эмилинского","cz_slk"
"81","1838_696_Полевой Н._Уголино : Драм. представление : [В стихах] / Соч. Николая Полевого","nlr_1"
"82","1838_696_Полевой Н._Уголино : Драм. представление : [В стихах] / Соч. Николая Полевого","rsl"
"83","1838_696_Полевой Н._Уголино : Драм. представление : [В стихах] / Соч. Николая Полевого","ee_ester"
"84","1839_699_NA_Нашла коса на камень : Фарс в 5 д. [в стихах]","nlr_1"
"85","1839_699_NA_Нашла коса на камень : Фарс в 5 д. [в стихах]","rsl"
"86","1839_700_Бахтурин К.А._Козьма Рощин, рязанский разбойник : Драма в 3 д. в стихах : Сюжет заимствован из извест. прозаич. рассказа М.Н. Загоскина / Соч. К.А. Бахтурина.","nlr_1"
"87","1839_700_Бахтурин К.А._Козьма Рощин, рязанский разбойник : Драма в 3 д. в стихах : Сюжет заимствован из извест. прозаич. рассказа М.Н. Загоскина / Соч. К.А. Бахтурина.","rsl"
"88","1843_719_В. Не…го_Демон стихотворства : Комедия в 5 д., в стихах / Соч. В. Не...го.","nlr_1"
"89","1843_719_В. Не…го_Демон стихотворства : Комедия в 5 д., в стихах / Соч. В. Не...го.","rsl"
