"","work","collection"
"74","1834_54_Крылов И._Басни Ивана Крылова : В 8 кн. / Новое изд., вновь испр. и умнож.","nlr"
"75","1834_54_Крылов И._Басни Ивана Крылова : В 8 кн. / Новое изд., вновь испр. и умнож.","rsl"
"76","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","nlr"
"77","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","rsl"
"78","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","rozanov"
"79","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","us_harvard"
"80","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","cz_slk"
"81","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","pl_bn"
"82","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","pl_buw"
"83","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","ee_ester"
"84","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","fi_sl"
"85","1835_75_Деларю М._Опыты в стихах Михаила Деларю","nlr"
"86","1835_75_Деларю М._Опыты в стихах Михаила Деларю","rsl"
"87","1835_75_Деларю М._Опыты в стихах Михаила Деларю","rozanov"
"88","1835_75_Деларю М._Опыты в стихах Михаила Деларю","lt_vul"
"89","1835_75_Деларю М._Опыты в стихах Михаила Деларю","pl_buw"
"90","1835_75_Деларю М._Опыты в стихах Михаила Деларю","fi_sl"
"91","1835_75_Деларю М._Опыты в стихах Михаила Деларю","spbgu"
"92","1835_76_Зилов А._Стихотворения Алексея Зилова [Тетрадь 1-я]","nlr"
"93","1835_76_Зилов А._Стихотворения Алексея Зилова [Тетрадь 1-я]","us_harvard"
"94","1835_76_Зилов А._Стихотворения Алексея Зилова [Тетрадь 1-я]","fi_sl"
"95","1835_77_Кольцов А._Стихотворения Алексея Кольцова","nlr"
"96","1835_77_Кольцов А._Стихотворения Алексея Кольцова","rsl"
"97","1835_77_Кольцов А._Стихотворения Алексея Кольцова","rozanov"
"98","1835_77_Кольцов А._Стихотворения Алексея Кольцова","ee_ester"
"99","1835_77_Кольцов А._Стихотворения Алексея Кольцова","fi_sl"
"100","1835_79_Меркли М._Стихотворения Михаила Меркли","nlr"
"101","1835_79_Меркли М._Стихотворения Михаила Меркли","rsl"
"102","1835_79_Меркли М._Стихотворения Михаила Меркли","rozanov"
"103","1835_79_Меркли М._Стихотворения Михаила Меркли","us_harvard"
"104","1835_79_Меркли М._Стихотворения Михаила Меркли","fi_sl"
"105","1835_80_Мятлев И.П._Собрание стихотворений","nlr"
"106","1835_80_Мятлев И.П._Собрание стихотворений","rsl"
"107","1835_80_Мятлев И.П._Собрание стихотворений","rozanov"
"108","1835_80_Мятлев И.П._Собрание стихотворений","spbgu"
"109","1835_83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","nlr"
"110","1835_83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","rsl"
"111","1835_83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","rozanov"
"112","1835_83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","us_harvard"
"113","1835_83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","cz_slk"
"114","1835_83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","ee_ester"
"115","1835_84_Риль Ю._Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем.","rsl"
"116","1835_85_Геевский С.Л._Сочинения и переводы в стихах С.Г.","nlr"
"117","1835_86_NA_Весенняя ветка. Стихотворения","nlr"
