"","work","signature"
"1","1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","nlr_1"
"2","1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","rsl"
"3","1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","roz_1"
"4","6_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","nlr_1"
"5","6_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","roz_1"
"6","6_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","us_harvard"
"7","6_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","cz_slk"
"8","8_П. Ершов_Конек-горбунок. Русская сказка","nlr_1"
"9","8_П. Ершов_Конек-горбунок. Русская сказка","rsl"
"10","8_П. Ершов_Конек-горбунок. Русская сказка","roz_1"
"11","8_П. Ершов_Конек-горбунок. Русская сказка","us_harvard"
"12","8_П. Ершов_Конек-горбунок. Русская сказка","ee_ester"
"13","9_Карцов Н._Семейство Комариных : Роман в стихах","nlr_1"
"14","9_Карцов Н._Семейство Комариных : Роман в стихах","rsl"
"15","9_Карцов Н._Семейство Комариных : Роман в стихах","roz_1"
"16","9_Карцов Н._Семейство Комариных : Роман в стихах","cz_slk"
"17","10_Катенин П._Княжна Милуша : Сказка [в стихах]","nlr_1"
"18","10_Катенин П._Княжна Милуша : Сказка [в стихах]","rsl"
"19","10_Катенин П._Княжна Милуша : Сказка [в стихах]","roz_1"
"20","10_Катенин П._Княжна Милуша : Сказка [в стихах]","fi_sl"
"21","13_Марков П.; Соколовский В._Зломилла и Добронрава девы гор, или Встреча с казаком : Кавказская повесть в 2 ч. : Первый опыт в поэзии П. Маркова","nlr_1"
"22","19_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","nlr_1"
"23","19_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","rsl"
"24","19_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","roz_1"
"25","21_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","nlr_1"
"26","21_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","rsl"
"27","21_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","roz_1"
"28","23_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","nlr_1"
"29","23_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","rsl"
"30","23_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","roz_1"
"31","23_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","pl_bn"
"32","25_NA_Сирота: Повесть [в стихах]","nlr_1"
"33","25_NA_Сирота: Повесть [в стихах]","cz_slk"
"34","28_П. Л._Любовь поэта: Повесть П. Л.","nlr_1"
"35","29_П. К._Три года жизни. [Ч. 1] : Роман в стихах","nlr_1"
"36","29_П. К._Три года жизни. [Ч. 1] : Роман в стихах","rsl"
"37","54_NA_Царь-девица : [Сказка в стихах]","nlr_1"
"38","54_NA_Царь-девица : [Сказка в стихах]","rsl"
"39","54_NA_Царь-девица : [Сказка в стихах]","roz_1"
"40","55_П. С._Поселенцы : Повесть в стихах","nlr_1"
"41","55_П. С._Поселенцы : Повесть в стихах","rsl"
"42","55_П. С._Поселенцы : Повесть в стихах","cz_slk"
"43","56_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","nlr_1"
"44","56_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","rsl"
"45","57_П. К._Мария: Фантастическая повесть в стихах П.К.","nlr_1"
"46","57_П. К._Мария: Фантастическая повесть в стихах П.К.","lt_vul"
"47","58_Неведомский Н._Бурка: Поэма","nlr_1"
"48","58_Неведомский Н._Бурка: Поэма","rsl"
"49","58_Неведомский Н._Бурка: Поэма","us_harvard"
"50","59_Кистерзунк А._Померанская быль : [Стихотворение]","nlr_1"
"51","60_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","nlr_1"
"52","60_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","cz_slk"
"53","60_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","fi_sl"
"54","63_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","nlr_1"
"55","63_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","rsl"
"56","65_Алябьев В._Странник: В 2 ч.","nlr_1"
"57","65_Алябьев В._Странник: В 2 ч.","rsl"
"58","65_Алябьев В._Странник: В 2 ч.","roz_1"
"59","65_Алябьев В._Странник: В 2 ч.","cz_slk"
"60","66_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","nlr_1"
"61","66_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","cz_slk"
"62","98_Дьячков С._Стихотворная сказка о дурачке и о кладе","nlr_1"
"63","98_Дьячков С._Стихотворная сказка о дурачке и о кладе","rsl"
"64","98_Дьячков С._Стихотворная сказка о дурачке и о кладе","roz_1"
"65","98_Дьячков С._Стихотворная сказка о дурачке и о кладе","us_harvard"
"66","100_Кашкин Д._Александриада : Поэма","nlr_1"
"67","100_Кашкин Д._Александриада : Поэма","rsl"
"68","100_Кашкин Д._Александриада : Поэма","us_harvard"
"69","100_Кашкин Д._Александриада : Поэма","fi_sl"
"70","102_NA_Иванушка-дурачок : Рус. сказка в 2 ч.","nlr_1"
"71","103_NA_Бубновый козырь, или Иванушка дурачок : Сказка в стихах","nlr_1"
"72","103_NA_Бубновый козырь, или Иванушка дурачок : Сказка в стихах","cz_slk"
"73","110_Мартынов А._Колдун и его дети : Старин. рус. сказка : [В стихах]","nlr_1"
"74","120_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","rsl"
"75","120_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","us_harvard"
"76","120_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","cz_slk"
"77","120_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","fi_sl"
"78","129_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","nlr_1"
"79","129_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","rsl"
"80","135_Чистов В._Смирный муж и бранливая жена : Рус. сказка в 3 ч.","nlr_1"
"81","136_Ашик А._Изменница: [Поэма]","nlr_1"
"82","136_Ашик А._Изменница: [Поэма]","roz_1"
"83","137_Алякринский И._Рогнеда : Романтическая поэма","nlr_1"
"84","137_Алякринский И._Рогнеда : Романтическая поэма","rsl"
"85","137_Алякринский И._Рогнеда : Романтическая поэма","roz_1"
"86","137_Алякринский И._Рогнеда : Романтическая поэма","fi_sl"
