"","work","signature"
"1","5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","nlr_1"
"2","5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","rsl"
"3","5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","roz_1"
"4","5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","us_harvard"
"5","5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","cz_slk"
"6","5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","pl_bn"
"7","5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","pl_buw"
"8","5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","ee_ester"
"9","5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","fi_sl"
"10","7_Бороздна И._Лира / [Соч.] Ивана Бороздны","nlr_1"
"11","7_Бороздна И._Лира / [Соч.] Ивана Бороздны","rsl"
"12","7_Бороздна И._Лира / [Соч.] Ивана Бороздны","roz_1"
"13","7_Бороздна И._Лира / [Соч.] Ивана Бороздны","fi_sl"
"14","11_Коптев А._Стихотворения","nlr_1"
"15","11_Коптев А._Стихотворения","rsl"
"16","11_Коптев А._Стихотворения","roz_1"
"17","14_Пушкин В. Л._Записки в стихах","nlr_1"
"18","14_Пушкин В. Л._Записки в стихах","rsl"
"19","14_Пушкин В. Л._Записки в стихах","roz_1"
"20","14_Пушкин В. Л._Записки в стихах","us_harvard"
"21","15_Слепушкин Ф._Новые досуги сельского жителя","nlr_1"
"22","15_Слепушкин Ф._Новые досуги сельского жителя","rsl"
"23","15_Слепушкин Ф._Новые досуги сельского жителя","roz_1"
"24","15_Слепушкин Ф._Новые досуги сельского жителя","cz_slk"
"25","16_Суходольский А._Стихотворения","nlr_1"
"26","16_Суходольский А._Стихотворения","roz_1"
"27","16_Суходольский А._Стихотворения","fi_sl"
"28","18_Цыганов Н._Русские песни","nlr_1"
"29","18_Цыганов Н._Русские песни","rsl"
"30","18_Цыганов Н._Русские песни","roz_1"
"31","20_NA_Гортензии: [Стихотворения]","nlr_1"
"32","20_NA_Гортензии: [Стихотворения]","roz_1"
"33","22_NA_Дитя поэзии : [Стихотворения]","nlr_1"
"34","22_NA_Дитя поэзии : [Стихотворения]","rsl"
"35","22_NA_Дитя поэзии : [Стихотворения]","roz_1"
"36","22_NA_Дитя поэзии : [Стихотворения]","us_harvard"
"37","22_NA_Дитя поэзии : [Стихотворения]","cz_slk"
"38","22_NA_Дитя поэзии : [Стихотворения]","fi_sl"
"39","24_Линдфорс Н._Стихотворения","nlr_1"
"40","24_Линдфорс Н._Стихотворения","rsl"
"41","24_Линдфорс Н._Стихотворения","us_harvard"
"42","26_Фукс А._Стихотворения","cz_slk"
"43","27_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","nlr_1"
"44","27_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","roz_1"
"45","27_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","pl_buw"
"46","27_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","fi_sl"
"47","35_Т-м-ф-в_XII песен. Отд. 3","nlr_1"
"48","35_Т-м-ф-в_XII песен. Отд. 3","rsl"
"49","42_Казимиров П._Стихотворения","nlr_1"
"50","42_Казимиров П._Стихотворения","rsl"
"51","42_Казимиров П._Стихотворения","cz_slk"
"52","42_Казимиров П._Стихотворения","fi_sl"
"53","44_Орлов А._Сатиры. 1. Без денег худо жить. 2. О мудрости Соломоновой","nlr_1"
"54","44_Орлов А._Сатиры. 1. Без денег худо жить. 2. О мудрости Соломоновой","rsl"
"55","45_NA_Собрание стихотворений","nlr_1"
"56","45_NA_Собрание стихотворений","rsl"
"57","50_Мясоедов Гр._Подарок друзьям, или Образчики из сочинений","nlr_1"
"58","68_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","nlr_1"
"59","68_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","rsl"
"60","68_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","roz_1"
"61","68_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","us_harvard"
"62","68_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","cz_slk"
"63","68_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","pl_bn"
"64","68_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","pl_buw"
"65","68_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","ee_ester"
"66","68_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","fi_sl"
"67","69_Венгер Н._Сочинения Николая Венгера в стихах и прозе","nlr_1"
"68","69_Венгер Н._Сочинения Николая Венгера в стихах и прозе","roz_1"
"69","70_Деларю М._Опыты в стихах Михаила Деларю","nlr_1"
"70","70_Деларю М._Опыты в стихах Михаила Деларю","rsl"
"71","70_Деларю М._Опыты в стихах Михаила Деларю","roz_1"
"72","70_Деларю М._Опыты в стихах Михаила Деларю","lt_vul"
"73","70_Деларю М._Опыты в стихах Михаила Деларю","pl_buw"
