"","work","signature"
"69","472_NA_Наказанный колдун : Сказка в стихах.","nlr_1"
"70","473_Бенкен И.Ф._Сказка о царе-горбуне и о колдунье Чертоухе / Соч. И.Ф. Бенкен.","nlr_1"
"71","479_NA_Убиение страшного змея Георгием Победоносцем и обращение жителей города Вирита к истинному богу : В 4 песнях.","nlr_1"
"72","484_Трегубов Е._Очерки картин из русской истории и народного предания : Стихотворение Е. Трегубова : В 3 [!4] отд-ниях","nlr_1"
"73","484_Трегубов Е._Очерки картин из русской истории и народного предания : Стихотворение Е. Трегубова : В 3 [!4] отд-ниях","rsl"
"74","485_Гончаровский Е._Москва и Кавказ : Повествоват. рассказ : Стихотворение Е... Гончаровского.","nlr_1"
"75","485_Гончаровский Е._Москва и Кавказ : Повествоват. рассказ : Стихотворение Е... Гончаровского.","rsl"
"76","486_NA_Тетушкины мемуары : [В стихах]","nlr_1"
"77","486_NA_Тетушкины мемуары : [В стихах]","rsl"
"78","487_С. С._Вечер в клубе : Шуточ. рассказ в стихах / Соч. С. С. - 2-е изд. с доп. [С изд. 1839 г.]","nlr_1"
"79","487_С. С._Вечер в клубе : Шуточ. рассказ в стихах / Соч. С. С. - 2-е изд. с доп. [С изд. 1839 г.]","rsl"
"80","488_NA_Записки молодого человека : В стихах. Кн. 1","nlr_1"
"81","489_Мятлев И._Тарантелла","nlr_1"
"82","489_Мятлев И._Тарантелла","rsl"
"83","494_Майков А._Две судьбы : Быль","nlr_1"
"84","494_Майков А._Две судьбы : Быль","rsl"
"85","494_Майков А._Две судьбы : Быль","roz_1"
"86","494_Майков А._Две судьбы : Быль","us_harvard"
"87","494_Майков А._Две судьбы : Быль","fi_sl"
"88","499_Варвара Лизо…б_Зюлейка : Повесть в стихах / Соч. Варвары Лизо..б","nlr_1"
"89","499_Варвара Лизо…б_Зюлейка : Повесть в стихах / Соч. Варвары Лизо..б","rsl"
"90","500_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","nlr_1"
"91","500_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","cz_slk"
"92","500_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","fi_sl"
"93","504_Поспелов А._Старик колдун, по прозванью Чортов-Ум : Новейшая нар. рус. сказка [в стихах] Алексея Поспелова","nlr_1"
"94","505_NA_Жизнь без горя и печали : Солдатск. сказка Ива Меркулыча Щираго","nlr_1"
"95","505_NA_Жизнь без горя и печали : Солдатск. сказка Ива Меркулыча Щираго","rsl"
"96","508_Телегин В._Сказка о царевиче Емельяне Емельяновиче, сынке Емелюшки : В стихах / Соч. штабс-кап. Телегина.","nlr_1"
"97","511_Телегин В._Омирова Ватрахомиомахия, или Война лягушек и мышей, переложенная в стихи штабс-капитаном Телегиным.","nlr_1"
"98","511_Телегин В._Омирова Ватрахомиомахия, или Война лягушек и мышей, переложенная в стихи штабс-капитаном Телегиным.","rsl"
"99","512_М. С._Смоленский рынок в Москве : Картина прошедшего времени / Соч. [в стихах] М.С... 1845","nlr_1"
"100","513_Иверсен А._Старина : Рассказ в стихах / Соч. А. Иверсена","nlr_1"
"101","514_Бутович А._Эрнест : Повесть в стихах / Соч. А. Бутовича","nlr_1"
"102","515_Потапов В._Кот в сапогах : Рус. нар. сказка в 3 ч. (в стихах) / Соч. В.Ф. Потапова, авт. сказки Мужичок с ноготок, борода с локоток","nlr_1"
"103","522_Кузмичев Ф._Спасенная Ниневия пророчеством Ионы : Поэма в 4 песнях / Соч. авт. Сына природы, Федота Кузмичева. / 3-е изд., [печ. с изд. 1841 г. без перемены]","nlr_1"
"104","522_Кузмичев Ф._Спасенная Ниневия пророчеством Ионы : Поэма в 4 песнях / Соч. авт. Сына природы, Федота Кузмичева. / 3-е изд., [печ. с изд. 1841 г. без перемены]","rsl"
"105","525_Языков Н._Отрок Вячко : [Поэма]","nlr_1"
"106","707_К. Е…._Месть за месть : (Древнее рус. нар. предание) : Повесть в стихах / Соч. К.Е.......","nlr_1"
"107","707_К. Е…._Месть за месть : (Древнее рус. нар. предание) : Повесть в стихах / Соч. К.Е.......","rsl"
"108","709_Орлов А._Малолеток, кормилец престарелого, обнищавшего отца своего, или Чистое родительское благословение : [В стихах] / Соч. Александра Орлова","nlr_1"
"109","710_Орлов А._Погребение купца, или Два, одно другому противные завещания для наследников : [В стихах] / Соч. Александра Орлова","nlr_1"
"110","710_Орлов А._Погребение купца, или Два, одно другому противные завещания для наследников : [В стихах] / Соч. Александра Орлова","rsl"
"111","718_И. Руссо_Сказка об Игнаце Разувае, о прекрасной Людмиле, Приамской царевне, об алмазном замке, о чугунном мосте, о двенадцатиглавом змее и о волшебнике Колдоране : В вольных стихах / Соч. И. Руссо.","nlr_1"
"112","721_Гребенка Е._Богдан : Сцены из жизни малороссийск. гетмана Зиновия Хмельницкого : [В стихах] / Соч. Е. Гребенка","nlr_1"
"113","730_Зотов В._Шкипер : Ист. сцены 1713 г., в стихах / Соч. В. Зотова","nlr_1"
"114","730_Зотов В._Шкипер : Ист. сцены 1713 г., в стихах / Соч. В. Зотова","rsl"
"115","731_Пальмов Ф._Иван Болван : [Повесть в стихах] : В 3 ч / Соч. Федора Пальмова.","nlr_1"
