"","work","signature"
"1","531_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","nlr_1"
"2","531_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","rsl"
"3","531_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","roz_1"
"4","534_Ваненко И._Бричка, или Обратный путь с Парнаса : (Басни иного манера и комедия на другую стать) / Соч. писателя, желающего остаться неизвестным; Обнаружены читающей публике Иваном Ваненко","nlr_1"
"5","534_Ваненко И._Бричка, или Обратный путь с Парнаса : (Басни иного манера и комедия на другую стать) / Соч. писателя, желающего остаться неизвестным; Обнаружены читающей публике Иваном Ваненко","rsl"
"6","539_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","nlr_1"
"7","539_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","rsl"
"8","539_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","roz_1"
"9","540_NA_Правосудие и взятка : Сказка в 2 гл. [в стихах]","nlr_1"
"10","540_NA_Правосудие и взятка : Сказка в 2 гл. [в стихах]","rsl"
"11","541_NA_Московская сказка о чуде поганом / 2-е изд. с изд. 1842 г.","nlr_1"
"12","542_NA_Талисман : Хитрая сказка про мудреное дело [в стихах].","nlr_1"
"13","542_NA_Талисман : Хитрая сказка про мудреное дело [в стихах].","cz_slk"
"14","545_Потапов В._Марьина роща и Сокольники, или Сказание о том, как молодые купчики пропускают сквозь бутылку отцовские денежки : (В стихах) : В 2 ч. и 7 карт. : С 7 новыми хоровыми цыган. и купеч. песнями / Соч. Василья Потапова","nlr_1"
"15","547_Потапов В._Тайны Нижегородской ярмарки : Нравств.-сатирич. панорама в 4 карт., в стихах / Соч. Василия Потапова","nlr_1"
"16","549_Потапов В._Чудеса в решете, или Похождение купеческих сынков с купеческими прикащиками на Нижегородской ярмарке : Рус. нар. сцены в 3-х ч. и 8-ми карт. : С 10-ю новыми цыган. и хоровыми песнями / Соч. В.Ф. Потапова","nlr_1"
"17","549_Потапов В._Чудеса в решете, или Похождение купеческих сынков с купеческими прикащиками на Нижегородской ярмарке : Рус. нар. сцены в 3-х ч. и 8-ми карт. : С 10-ю новыми цыган. и хоровыми песнями / Соч. В.Ф. Потапова","rsl"
"18","550_NA_Дядя по носу глядя : [Сказка в стихах]","nlr_1"
"19","550_NA_Дядя по носу глядя : [Сказка в стихах]","rsl"
"20","551_Сумароков Д._Дальний боярин : Древ. сказка, которая на быль похожа / Соч. Дмитрия Сумарокова","nlr_1"
"21","552_Потапов В._Мальчик с пальчик, или Мал золотник, да дорог! : Рус. сказка в 2-х ч. (в стихах) / Соч. В.Ф. Потапова. [Ч. 1-2]. [Ч. 1]","nlr_1"
"22","553_Потапов В._Мальчик с пальчик, или Мал золотник, да дорог! : Рус. сказка в 2-х ч. (в стихах) / Соч. В.Ф. Потапова. [Ч. 1-2]. [Ч. 2]","nlr_1"
"23","561_Минаев Д._Слава о Вещем Олеге : [В стихах] / Соч. Д. Минаева","nlr_1"
"24","561_Минаев Д._Слава о Вещем Олеге : [В стихах] / Соч. Д. Минаева","rsl"
"25","561_Минаев Д._Слава о Вещем Олеге : [В стихах] / Соч. Д. Минаева","roz_1"
"26","565_В.П._Московский гостиный двор, или Искусство покупать и дешево и сердито! : Стихотворение, напис. с натуры : В 9 карт.","nlr_1"
"27","565_В.П._Московский гостиный двор, или Искусство покупать и дешево и сердито! : Стихотворение, напис. с натуры : В 9 карт.","roz_1"
"28","567_Дрейгарфен М._Кольцо : Повесть в стихах / Соч. М. Дрейгарфена","nlr_1"
"29","567_Дрейгарфен М._Кольцо : Повесть в стихах / Соч. М. Дрейгарфена","rsl"
"30","567_Дрейгарфен М._Кольцо : Повесть в стихах / Соч. М. Дрейгарфена","cz_slk"
"31","573_Потапов В._Ерш Ершович Щетинников, или Волшебная сказка о гуслях-самогудах с присказками и с шуточками, с песнями и с прибауточками : В 4 ч., в стихах / Соч. В. Потапова","nlr_1"
"32","573_Потапов В._Ерш Ершович Щетинников, или Волшебная сказка о гуслях-самогудах с присказками и с шуточками, с песнями и с прибауточками : В 4 ч., в стихах / Соч. В. Потапова","rsl"
"33","576_В… Л…_Сказка о невеличке-птичке, или О двух счастливцах : [В стихах] / Соч. В... Л...","nlr_1"
