"","work","signature"
"77","598_Ваненко И._Семейные приключения животных : (Басни иного манера) : [В стихах] / Соч. Ивана Ваненко","roz_1"
"78","598_Ваненко И._Семейные приключения животных : (Басни иного манера) : [В стихах] / Соч. Ивана Ваненко","fi_sl"
"79","600_Грузинов И._Отблески поэзии : [Стихотворения] / Соч. Иосифа Грузинова","nlr_1"
"80","600_Грузинов И._Отблески поэзии : [Стихотворения] / Соч. Иосифа Грузинова","rsl"
"81","600_Грузинов И._Отблески поэзии : [Стихотворения] / Соч. Иосифа Грузинова","roz_1"
"82","600_Грузинов И._Отблески поэзии : [Стихотворения] / Соч. Иосифа Грузинова","fi_sl"
"83","602_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","nlr_1"
"84","602_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","rsl"
"85","602_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","roz_1"
"86","602_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","lt_vul"
"87","602_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","ee_ester"
"88","602_Миллер Ф._Стихотворения Ф. Миллера. 1841-1848","fi_sl"
"89","603_NA_Сазандар : Стихи","nlr_1"
"90","603_NA_Сазандар : Стихи","rsl"
"91","603_NA_Сазандар : Стихи","roz_1"
"92","603_NA_Сазандар : Стихи","cz_slk"
"93","607_Шахова Е._Мирянка и Отшельница : Стихотворения Елисаветы Шаховой : В 2 ч.","nlr_1"
"94","607_Шахова Е._Мирянка и Отшельница : Стихотворения Елисаветы Шаховой : В 2 ч.","rsl"
"95","607_Шахова Е._Мирянка и Отшельница : Стихотворения Елисаветы Шаховой : В 2 ч.","roz_1"
"96","613_Фет А._Стихотворения А. Фета","nlr_1"
"97","613_Фет А._Стихотворения А. Фета","rsl"
"98","613_Фет А._Стихотворения А. Фета","roz_1"
"99","613_Фет А._Стихотворения А. Фета","ee_ester"
"100","613_Фет А._Стихотворения А. Фета","fi_sl"
"101","614_Щербина Н._Греческие стихотворения / [Соч.] Николая Щербины","nlr_1"
"102","614_Щербина Н._Греческие стихотворения / [Соч.] Николая Щербины","rsl"
"103","614_Щербина Н._Греческие стихотворения / [Соч.] Николая Щербины","roz_1"
"104","617_Е.С._Стихотворения Е.С.","nlr_1"
"105","652_Жадовская Ю._Стихотворения Юлии Жадовской","nlr_1"
"106","652_Жадовская Ю._Стихотворения Юлии Жадовской","rsl"
"107","652_Жадовская Ю._Стихотворения Юлии Жадовской","us_harvard"
"108","652_Жадовская Ю._Стихотворения Юлии Жадовской","fi_sl"
"109","654_Уманский И.В._Басни / И.В. Уманского [Кн. 1]","nlr_1"
"110","654_Уманский И.В._Басни / И.В. Уманского [Кн. 1]","rsl"
"111","654_Уманский И.В._Басни / И.В. Уманского [Кн. 1]","fi_sl"
"112","655_Витусов П._Собрание стихотворений П. Витусова","nlr_1"
"113","655_Витусов П._Собрание стихотворений П. Витусова","fi_sl"
"114","658_Ключарев А._Стихотворения / [Соч.] Александра Ключарева","nlr_1"
"115","658_Ключарев А._Стихотворения / [Соч.] Александра Ключарева","rsl"
"116","658_Ключарев А._Стихотворения / [Соч.] Александра Ключарева","fi_sl"
"117","660_Голишев Н._Военный досуг : Стихотворения Николая Голишева : С портр. авт.","nlr_1"
"118","660_Голишев Н._Военный досуг : Стихотворения Николая Голишева : С портр. авт.","rsl"
"119","660_Голишев Н._Военный досуг : Стихотворения Николая Голишева : С портр. авт.","fi_sl"
"120","668_Жеребей Н._Очерки, силуэты, басни, картины и портреты : В 5 ч. / [Соч.] Николая Жеребея","nlr_1"
"121","668_Жеребей Н._Очерки, силуэты, басни, картины и портреты : В 5 ч. / [Соч.] Николая Жеребея","rsl"
"122","668_Жеребей Н._Очерки, силуэты, басни, картины и портреты : В 5 ч. / [Соч.] Николая Жеребея","fi_sl"
"123","669_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","nlr_1"
"124","669_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","rsl"
"125","669_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","roz_1"
"126","669_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","cz_slk"
"127","669_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","ee_ester"
"128","669_Жуковский В._Новые стихотворения В. Жуковского : В 3 т. Т. 1: Рустем и Зораб. Сказки и повести","fi_sl"
"129","739_Волков Ю._Стихотворения Юрия Волкова","nlr_1"
"130","741_Иванов В._Стихотворения Владимира Иванова","nlr_1"
"131","743_NA_Опыты в стихах и прозе","nlr_1"
"132","744_Набатов С._Млечная звездочка : Стихотворения Сергея Набатова.","nlr_1"
"133","745_Сельский С._Отголоски юности : Опыты в стихах С. Сельского","nlr_1"
"134","745_Сельский С._Отголоски юности : Опыты в стихах С. Сельского","rsl"
"135","750_Щербаков Г._Стихотворения / [Соч.] Григория Щербакова.","nlr_1"
"136","750_Щербаков Г._Стихотворения / [Соч.] Григория Щербакова.","rsl"
"137","751_NA_Туман на заре : [Стихи]","nlr_1"
"138","752_Побыванец В._Ночь : [Сборник рассказов и стихов] / [Соч.] Василия Побыванца","nlr_1"
"139","753_NA_Опыты в стихах и прозе","nlr_1"
