"","work","signature"
"1","303_Анордист Н._Альманах на 1840 год / Н. Анордиста","nlr_1"
"2","303_Анордист Н._Альманах на 1840 год / Н. Анордиста","rsl"
"3","303_Анордист Н._Альманах на 1840 год / Н. Анордиста","fi_sl"
"4","312_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","nlr_1"
"5","312_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","rsl"
"6","312_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","roz_1"
"7","312_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","us_harvard"
"8","312_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","cz_slk"
"9","312_Демидов М.А._Дельные безделки: Стихотворения М. Демидова","fi_sl"
"10","313_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","nlr_1"
"11","313_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","rsl"
"12","313_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","roz_1"
"13","313_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","us_harvard"
"14","313_Долгоруков А.И._Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого","fi_sl"
"15","315_Лермонтов М.Ю._Стихотворения М. Лермонтова","nlr_1"
"16","315_Лермонтов М.Ю._Стихотворения М. Лермонтова","rsl"
"17","315_Лермонтов М.Ю._Стихотворения М. Лермонтова","roz_1"
"18","315_Лермонтов М.Ю._Стихотворения М. Лермонтова","us_harvard"
"19","315_Лермонтов М.Ю._Стихотворения М. Лермонтова","cz_slk"
"20","315_Лермонтов М.Ю._Стихотворения М. Лермонтова","ee_ester"
"21","316_Некрасов Н.А._Мечты и звуки. Стихотворения Н.Н.","nlr_1"
"22","316_Некрасов Н.А._Мечты и звуки. Стихотворения Н.Н.","rsl"
"23","316_Некрасов Н.А._Мечты и звуки. Стихотворения Н.Н.","roz_1"
"24","316_Некрасов Н.А._Мечты и звуки. Стихотворения Н.Н.","fi_sl"
"25","318_Папкевич А._Стихотворения Александра Папкевича","nlr_1"
"26","318_Папкевич А._Стихотворения Александра Папкевича","rsl"
"27","318_Папкевич А._Стихотворения Александра Папкевича","us_harvard"
"28","319_Слепушкин Ф._Новые досуги Федора Слепушкина","nlr_1"
"29","319_Слепушкин Ф._Новые досуги Федора Слепушкина","rsl"
"30","319_Слепушкин Ф._Новые досуги Федора Слепушкина","roz_1"
"31","319_Слепушкин Ф._Новые досуги Федора Слепушкина","us_harvard"
"32","319_Слепушкин Ф._Новые досуги Федора Слепушкина","fi_sl"
"33","320_А. Ф._Лирический пантеон. А.Ф.","nlr_1"
"34","320_А. Ф._Лирический пантеон. А.Ф.","rsl"
"35","320_А. Ф._Лирический пантеон. А.Ф.","roz_1"
"36","320_А. Ф._Лирический пантеон. А.Ф.","us_harvard"
"37","321_Филимонов П.С._Опыты П.С. Филимонова","nlr_1"
"38","321_Филимонов П.С._Опыты П.С. Филимонова","rsl"
"39","324_NA_Три песни патриота","nlr_1"
"40","324_NA_Три песни патриота","rsl"
"41","324_NA_Три песни патриота","roz_1"
"42","324_NA_Три песни патриота","cz_slk"
"43","326_NA_Стихотворения Н.И.","nlr_1"
"44","328_Саблин Е.И._Полевой цветок: Стихотворения Евгения Саблина","nlr_1"
"45","329_Любатович С._Стихотворения Спиридона Любатовича","nlr_1"
"46","330_Криксин_Романсы и песни. Соч. Криксина","nlr_1"
"47","360_Ибрагимов Л._Стихотворения","nlr_1"
"48","360_Ибрагимов Л._Стихотворения","rsl"
"49","360_Ибрагимов Л._Стихотворения","roz_1"
"50","360_Ибрагимов Л._Стихотворения","fi_sl"
"51","361_Миньят Ю._Стихотворения воспитанника 5 кл. Виленского дворян. ин-та Юлия Миньята.","nlr_1"
"52","361_Миньят Ю._Стихотворения воспитанника 5 кл. Виленского дворян. ин-та Юлия Миньята.","roz_1"
"53","361_Миньят Ю._Стихотворения воспитанника 5 кл. Виленского дворян. ин-та Юлия Миньята.","lt_vul"
"54","362_Ростопчина Е._Стихотворения графини Е. Ростопчиной","nlr_1"
"55","362_Ростопчина Е._Стихотворения графини Е. Ростопчиной","rsl"
"56","362_Ростопчина Е._Стихотворения графини Е. Ростопчиной","roz_1"
"57","362_Ростопчина Е._Стихотворения графини Е. Ростопчиной","fi_sl"
"58","364_Языков И._Стихотворения Ивана Языкова","nlr_1"
"59","364_Языков И._Стихотворения Ивана Языкова","rsl"
"60","364_Языков И._Стихотворения Ивана Языкова","roz_1"
"61","364_Языков И._Стихотворения Ивана Языкова","fi_sl"
"62","368_Соколова Т._Стихотворения: В 2 ч. Ч. 1","nlr_1"
"63","368_Соколова Т._Стихотворения: В 2 ч. Ч. 1","cz_slk"
"64","368_Соколова Т._Стихотворения: В 2 ч. Ч. 1","fi_sl"
"65","369_Соколова Т._Стихотворения: В 2 ч. Ч. 2","nlr_1"
"66","370_Демидов М._Отголоски скитальца : Стихотворения М. Демидова : В 2 отд-ниях","nlr_1"
"67","370_Демидов М._Отголоски скитальца : Стихотворения М. Демидова : В 2 отд-ниях","rsl"
"68","371_Кульман Е.Б._Полное собрание русских, немецких и итальянских стихотворений : В 3-х частях / 2-е изд","nlr_1"
"69","372_Бочаров И._Стихотворения","nlr_1"
"70","372_Бочаров И._Стихотворения","rsl"
"71","372_Бочаров И._Стихотворения","roz_1"
"72","372_Бочаров И._Стихотворения","pl_buw"
"73","372_Бочаров И._Стихотворения","fi_sl"
"74","373_Мандельштам Л.И._Стихотворения","nlr_1"
